clustering_config,horizon,cluster_label,best_model_mae,best_model_rmse,best_model_mase,best_model_direction,n_series_in_cluster
cfg_0185,1,0,esn,esn,esn,esn,6
cfg_0185,1,1,esn,esn,esn,esn,2
cfg_0185,1,2,esn,esn,esn,esn,37
cfg_0185,1,3,esn,esn,esn,esn,5
cfg_0185,5,0,naive_zero,naive_zero,naive_zero,esn,6
cfg_0185,5,1,naive_zero,naive_mean,naive_zero,esn,2
cfg_0185,5,2,naive_zero,naive_zero,naive_zero,esn,37
cfg_0185,5,3,esn,esn,esn,esn,5
cfg_0185,20,0,naive_zero,naive_zero,naive_zero,esn,6
cfg_0185,20,1,naive_zero,esn,naive_zero,naive_mean,2
cfg_0185,20,2,naive_zero,naive_zero,naive_zero,esn,37
cfg_0185,20,3,naive_zero,naive_zero,naive_zero,esn,5
cfg_0443,1,0,esn,esn,esn,esn,9
cfg_0443,1,1,esn,esn,esn,esn,37
cfg_0443,1,2,esn,esn,esn,esn,4
cfg_0443,5,0,naive_zero,naive_zero,naive_zero,esn,9
cfg_0443,5,1,naive_zero,naive_zero,naive_zero,esn,37
cfg_0443,5,2,naive_zero,esn,esn,esn,4
cfg_0443,20,0,naive_zero,naive_zero,naive_zero,transient_chaotic_esn,9
cfg_0443,20,1,naive_zero,naive_zero,naive_zero,esn,37
cfg_0443,20,2,naive_zero,naive_mean,naive_zero,naive_mean,4
cfg_0445,1,0,esn,esn,esn,esn,9
cfg_0445,1,1,esn,esn,esn,esn,29
cfg_0445,1,2,esn,esn,esn,esn,4
cfg_0445,1,4,esn,esn,esn,esn,8
cfg_0445,5,0,naive_zero,naive_zero,naive_zero,esn,9
cfg_0445,5,1,naive_zero,naive_zero,naive_zero,esn,29
cfg_0445,5,2,naive_zero,esn,esn,esn,4
cfg_0445,5,4,naive_zero,naive_zero,naive_zero,esn,8
cfg_0445,20,0,naive_zero,naive_zero,naive_zero,transient_chaotic_esn,9
cfg_0445,20,1,naive_zero,naive_zero,naive_zero,esn,29
cfg_0445,20,2,naive_zero,naive_mean,naive_zero,naive_mean,4
cfg_0445,20,4,naive_zero,naive_zero,naive_zero,transient_chaotic_esn,8
