config_id,feature_set,scaler,space_type,pca_n_components,algorithm,n_clusters_requested,cluster_label,cluster_size,cluster_share,cluster_size_rank,ranking_score
cfg_0029,base,identity,pca,3.0,gmm,2,0,375,0.8971291866028708,1,0.19532853142265472
cfg_0029,base,identity,pca,3.0,gmm,2,1,43,0.10287081339712918,2,0.19532853142265472
cfg_0185,base,quantile,pca,2.0,gmm,4,2,183,0.43779904306220097,1,0.26568358428324357
cfg_0185,base,quantile,pca,2.0,gmm,4,3,135,0.3229665071770335,2,0.26568358428324357
cfg_0185,base,quantile,pca,2.0,gmm,4,1,56,0.1339712918660287,3,0.26568358428324357
cfg_0185,base,quantile,pca,2.0,gmm,4,0,44,0.10526315789473684,4,0.26568358428324357
cfg_0191,base,quantile,pca,2.0,agglomerative,3,0,199,0.47607655502392343,1,0.17827201161967515
cfg_0191,base,quantile,pca,2.0,agglomerative,3,1,159,0.3803827751196172,2,0.17827201161967515
cfg_0191,base,quantile,pca,2.0,agglomerative,3,2,60,0.14354066985645933,3,0.17827201161967515
cfg_0193,base,quantile,pca,2.0,agglomerative,5,0,176,0.42105263157894735,1,0.21739101201160616
cfg_0193,base,quantile,pca,2.0,agglomerative,5,1,114,0.2727272727272727,2,0.21739101201160616
cfg_0193,base,quantile,pca,2.0,agglomerative,5,2,60,0.14354066985645933,3,0.21739101201160616
cfg_0193,base,quantile,pca,2.0,agglomerative,5,4,45,0.1076555023923445,4,0.21739101201160616
cfg_0193,base,quantile,pca,2.0,agglomerative,5,3,23,0.05502392344497608,5,0.21739101201160616
cfg_0194,base,quantile,pca,2.0,agglomerative,6,5,115,0.2751196172248804,1,0.2174812586893198
cfg_0194,base,quantile,pca,2.0,agglomerative,6,1,114,0.2727272727272727,2,0.2174812586893198
cfg_0194,base,quantile,pca,2.0,agglomerative,6,2,61,0.145933014354067,3,0.2174812586893198
cfg_0194,base,quantile,pca,2.0,agglomerative,6,0,60,0.14354066985645933,4,0.2174812586893198
cfg_0194,base,quantile,pca,2.0,agglomerative,6,4,45,0.1076555023923445,5,0.2174812586893198
cfg_0194,base,quantile,pca,2.0,agglomerative,6,3,23,0.05502392344497608,6,0.2174812586893198
cfg_0195,base,quantile,pca,2.0,agglomerative,7,5,115,0.2751196172248804,1,0.17745815752736194
cfg_0195,base,quantile,pca,2.0,agglomerative,7,0,114,0.2727272727272727,2,0.17745815752736194
cfg_0195,base,quantile,pca,2.0,agglomerative,7,2,61,0.145933014354067,3,0.17745815752736194
cfg_0195,base,quantile,pca,2.0,agglomerative,7,1,45,0.1076555023923445,4,0.17745815752736194
cfg_0195,base,quantile,pca,2.0,agglomerative,7,6,45,0.1076555023923445,4,0.17745815752736194
cfg_0195,base,quantile,pca,2.0,agglomerative,7,3,23,0.05502392344497608,5,0.17745815752736194
cfg_0195,base,quantile,pca,2.0,agglomerative,7,4,15,0.03588516746411483,6,0.17745815752736194
cfg_0196,base,quantile,pca,2.0,agglomerative,8,5,115,0.2751196172248804,1,0.17149165870429728
cfg_0196,base,quantile,pca,2.0,agglomerative,8,0,91,0.21770334928229665,2,0.17149165870429728
cfg_0196,base,quantile,pca,2.0,agglomerative,8,2,61,0.145933014354067,3,0.17149165870429728
cfg_0196,base,quantile,pca,2.0,agglomerative,8,1,45,0.1076555023923445,4,0.17149165870429728
cfg_0196,base,quantile,pca,2.0,agglomerative,8,6,45,0.1076555023923445,4,0.17149165870429728
cfg_0196,base,quantile,pca,2.0,agglomerative,8,3,23,0.05502392344497608,5,0.17149165870429728
cfg_0196,base,quantile,pca,2.0,agglomerative,8,7,23,0.05502392344497608,5,0.17149165870429728
cfg_0196,base,quantile,pca,2.0,agglomerative,8,4,15,0.03588516746411483,6,0.17149165870429728
cfg_0295,with_chaos,identity,pca,4.0,gmm,2,0,376,0.8995215311004785,1,0.202491625793925
cfg_0295,with_chaos,identity,pca,4.0,gmm,2,1,42,0.10047846889952153,2,0.202491625793925
cfg_0440,with_chaos,quantile,pca,2.0,gmm,7,1,146,0.3492822966507177,1,0.2601236886207819
cfg_0440,with_chaos,quantile,pca,2.0,gmm,7,2,98,0.23444976076555024,2,0.2601236886207819
cfg_0440,with_chaos,quantile,pca,2.0,gmm,7,3,58,0.13875598086124402,3,0.2601236886207819
cfg_0440,with_chaos,quantile,pca,2.0,gmm,7,0,39,0.09330143540669857,4,0.2601236886207819
cfg_0440,with_chaos,quantile,pca,2.0,gmm,7,6,39,0.09330143540669857,4,0.2601236886207819
cfg_0440,with_chaos,quantile,pca,2.0,gmm,7,4,27,0.0645933014354067,5,0.2601236886207819
cfg_0440,with_chaos,quantile,pca,2.0,gmm,7,5,11,0.02631578947368421,6,0.2601236886207819
cfg_0443,with_chaos,quantile,pca,2.0,agglomerative,3,1,201,0.48086124401913877,1,0.2724582798125919
cfg_0443,with_chaos,quantile,pca,2.0,agglomerative,3,2,140,0.3349282296650718,2,0.2724582798125919
