horizon,target_metric,candidate_set,top_k,candidate_rank,model_name,mean_metric,win_count,gap_to_best,relative_gap_to_best,is_close_to_best
1,rmse,top_3,3,1,esn,0.025872126938620874,298,0.0,0.0,1
1,rmse,top_3,3,2,transient_chaotic_esn,0.026254420415379773,2,0.00038229347675889855,0.01477626782157698,1
1,rmse,top_3,3,3,ridge_lag,0.03026412962282229,0,0.004392002684201417,0.16975808346260127,0
1,rmse,top_4,4,1,esn,0.025872126938620874,298,0.0,0.0,1
1,rmse,top_4,4,2,transient_chaotic_esn,0.026254420415379773,2,0.00038229347675889855,0.01477626782157698,1
1,rmse,top_4,4,3,ridge_lag,0.03026412962282229,0,0.004392002684201417,0.16975808346260127,0
1,rmse,top_4,4,4,chaotic_esn,0.030531726025381064,0,0.00465959908676019,0.18010112186812624,0
1,rmse,top_5,5,1,esn,0.025872126938620874,298,0.0,0.0,1
1,rmse,top_5,5,2,transient_chaotic_esn,0.026254420415379773,2,0.00038229347675889855,0.01477626782157698,1
1,rmse,top_5,5,3,ridge_lag,0.03026412962282229,0,0.004392002684201417,0.16975808346260127,0
1,rmse,top_5,5,4,chaotic_esn,0.030531726025381064,0,0.00465959908676019,0.18010112186812624,0
1,rmse,top_5,5,5,lstm_forecast,0.03322813611934886,0,0.007356009180727988,0.28432177988997237,0
1,rmse,top_6,6,1,esn,0.025872126938620874,298,0.0,0.0,1
1,rmse,top_6,6,2,transient_chaotic_esn,0.026254420415379773,2,0.00038229347675889855,0.01477626782157698,1
1,rmse,top_6,6,3,ridge_lag,0.03026412962282229,0,0.004392002684201417,0.16975808346260127,0
1,rmse,top_6,6,4,chaotic_esn,0.030531726025381064,0,0.00465959908676019,0.18010112186812624,0
1,rmse,top_6,6,5,lstm_forecast,0.03322813611934886,0,0.007356009180727988,0.28432177988997237,0
1,rmse,top_6,6,6,chaotic_lstm_forecast,0.033630287715165255,0,0.007758160776544381,0.2998655964756925,0
5,rmse,top_3,3,1,naive_zero,0.09422418039152325,43,0.0,0.0,1
5,rmse,top_3,3,2,naive_mean,0.09427442609179683,32,5.024570027357955e-05,0.000533256962966375,1
5,rmse,top_3,3,3,chaotic_lstm_forecast,0.09433929923096676,31,0.00011511883944351209,0.0012217547445376197,1
5,rmse,top_4,4,1,naive_zero,0.09422418039152325,43,0.0,0.0,1
5,rmse,top_4,4,2,naive_mean,0.09427442609179683,32,5.024570027357955e-05,0.000533256962966375,1
5,rmse,top_4,4,3,chaotic_lstm_forecast,0.09433929923096676,31,0.00011511883944351209,0.0012217547445376197,1
5,rmse,top_4,4,4,lstm_forecast,0.09438640952845975,45,0.00016222913693650365,0.0017217357186064563,1
5,rmse,top_5,5,1,naive_zero,0.09422418039152325,43,0.0,0.0,1
5,rmse,top_5,5,2,naive_mean,0.09427442609179683,32,5.024570027357955e-05,0.000533256962966375,1
5,rmse,top_5,5,3,chaotic_lstm_forecast,0.09433929923096676,31,0.00011511883944351209,0.0012217547445376197,1
5,rmse,top_5,5,4,lstm_forecast,0.09438640952845975,45,0.00016222913693650365,0.0017217357186064563,1
5,rmse,top_5,5,5,esn,0.09514588195188423,106,0.0009217015603609768,0.009782006662526474,1
5,rmse,top_6,6,1,naive_zero,0.09422418039152325,43,0.0,0.0,1
5,rmse,top_6,6,2,naive_mean,0.09427442609179683,32,5.024570027357955e-05,0.000533256962966375,1
5,rmse,top_6,6,3,chaotic_lstm_forecast,0.09433929923096676,31,0.00011511883944351209,0.0012217547445376197,1
5,rmse,top_6,6,4,lstm_forecast,0.09438640952845975,45,0.00016222913693650365,0.0017217357186064563,1
5,rmse,top_6,6,5,esn,0.09514588195188423,106,0.0009217015603609768,0.009782006662526474,1
5,rmse,top_6,6,6,ridge_lag,0.09557958317657413,3,0.001355402785050877,0.014384872114767836,1
20,rmse,top_3,3,1,naive_zero,0.18247461261423148,76,0.0,0.0,1
20,rmse,top_3,3,2,naive_mean,0.18286670205765604,48,0.0003920894434245592,0.0021487342146245475,1
20,rmse,top_3,3,3,lstm_forecast,0.18304791968081735,30,0.0005733070665858708,0.0031418456429218237,1
20,rmse,top_4,4,1,naive_zero,0.18247461261423148,76,0.0,0.0,1
