feature_name,dtype,source_artifact,feature_set_kind
hurst_rs,float64,D:\Projects\TS_fcst\artifacts\features\final_clustering_features_with_chaos_v1.parquet,final_curated_feature_set
hurst_dfa,float64,D:\Projects\TS_fcst\artifacts\features\final_clustering_features_with_chaos_v1.parquet,final_curated_feature_set
acf_lag_2,float64,D:\Projects\TS_fcst\artifacts\features\final_clustering_features_with_chaos_v1.parquet,final_curated_feature_set
acf_lag_5,float64,D:\Projects\TS_fcst\artifacts\features\final_clustering_features_with_chaos_v1.parquet,final_curated_feature_set
acf_lag_10,float64,D:\Projects\TS_fcst\artifacts\features\final_clustering_features_with_chaos_v1.parquet,final_curated_feature_set
acf_lag_25,float64,D:\Projects\TS_fcst\artifacts\features\final_clustering_features_with_chaos_v1.parquet,final_curated_feature_set
acf_lag_50,float64,D:\Projects\TS_fcst\artifacts\features\final_clustering_features_with_chaos_v1.parquet,final_curated_feature_set
acf_lag_100,float64,D:\Projects\TS_fcst\artifacts\features\final_clustering_features_with_chaos_v1.parquet,final_curated_feature_set
abs_acf_lag_2,float64,D:\Projects\TS_fcst\artifacts\features\final_clustering_features_with_chaos_v1.parquet,final_curated_feature_set
abs_acf_lag_5,float64,D:\Projects\TS_fcst\artifacts\features\final_clustering_features_with_chaos_v1.parquet,final_curated_feature_set
abs_acf_lag_10,float64,D:\Projects\TS_fcst\artifacts\features\final_clustering_features_with_chaos_v1.parquet,final_curated_feature_set
abs_acf_lag_25,float64,D:\Projects\TS_fcst\artifacts\features\final_clustering_features_with_chaos_v1.parquet,final_curated_feature_set
abs_acf_lag_50,float64,D:\Projects\TS_fcst\artifacts\features\final_clustering_features_with_chaos_v1.parquet,final_curated_feature_set
vr_q10,float64,D:\Projects\TS_fcst\artifacts\features\final_clustering_features_with_chaos_v1.parquet,final_curated_feature_set
lb_ret_stat_50,float64,D:\Projects\TS_fcst\artifacts\features\final_clustering_features_with_chaos_v1.parquet,final_curated_feature_set
lz_complexity,float64,D:\Projects\TS_fcst\artifacts\features\final_clustering_features_with_chaos_v1.parquet,final_curated_feature_set
permutation_entropy,float64,D:\Projects\TS_fcst\artifacts\features\final_clustering_features_with_chaos_v1.parquet,final_curated_feature_set
spectral_flatness,float64,D:\Projects\TS_fcst\artifacts\features\final_clustering_features_with_chaos_v1.parquet,final_curated_feature_set
kurtosis,float64,D:\Projects\TS_fcst\artifacts\features\final_clustering_features_with_chaos_v1.parquet,final_curated_feature_set
robust_kurtosis,float64,D:\Projects\TS_fcst\artifacts\features\final_clustering_features_with_chaos_v1.parquet,final_curated_feature_set
tail_ratio_upper,float64,D:\Projects\TS_fcst\artifacts\features\final_clustering_features_with_chaos_v1.parquet,final_curated_feature_set
hill_tail_index,float64,D:\Projects\TS_fcst\artifacts\features\final_clustering_features_with_chaos_v1.parquet,final_curated_feature_set
correlation_dimension,float64,D:\Projects\TS_fcst\artifacts\features\final_clustering_features_with_chaos_v1.parquet,final_curated_feature_set
embedding_dimension,float64,D:\Projects\TS_fcst\artifacts\features\final_clustering_features_with_chaos_v1.parquet,final_curated_feature_set
selected_delay_tau,float64,D:\Projects\TS_fcst\artifacts\features\final_clustering_features_with_chaos_v1.parquet,final_curated_feature_set
