feature_name,feature_set
hurst_rs,full
hurst_dfa,full
acf_lag_2,full
acf_lag_5,full
acf_lag_10,full
acf_lag_25,full
acf_lag_50,full
acf_lag_100,full
abs_acf_lag_2,full
abs_acf_lag_5,full
abs_acf_lag_10,full
abs_acf_lag_25,full
abs_acf_lag_50,full
vr_q10,full
lb_ret_stat_50,full
lz_complexity,full
permutation_entropy,full
spectral_flatness,full
kurtosis,full
robust_kurtosis,full
tail_ratio_upper,full
hill_tail_index,full
correlation_dimension,full
embedding_dimension,full
selected_delay_tau,full
