horizon,target_metric,feature_set,n_series,n_features
1,directional_accuracy,full_features,300,25
1,directional_accuracy,full_plus_basic_features,300,36
1,directional_accuracy,selected_features,300,36
1,rmse,full_features,300,25
1,rmse,full_plus_basic_features,300,36
1,rmse,selected_features,300,36
5,directional_accuracy,full_features,300,25
5,directional_accuracy,full_plus_basic_features,300,36
5,directional_accuracy,selected_features,300,36
5,rmse,full_features,300,25
5,rmse,full_plus_basic_features,300,36
5,rmse,selected_features,300,36
20,directional_accuracy,full_features,300,25
20,directional_accuracy,full_plus_basic_features,300,36
20,directional_accuracy,selected_features,300,36
20,rmse,full_features,300,25
20,rmse,full_plus_basic_features,300,36
20,rmse,selected_features,300,36
