horizon,target_metric,model_name,win_count
1,rmse,esn,99
1,rmse,transient_chaotic_esn,1
5,rmse,esn,22
5,rmse,naive_zero,21
5,rmse,lstm_forecast,15
5,rmse,chaotic_lstm_forecast,14
5,rmse,transient_chaotic_esn,13
5,rmse,naive_mean,7
5,rmse,chaotic_mlp,4
5,rmse,vanilla_mlp,3
5,rmse,ridge_lag,1
20,rmse,naive_zero,27
20,rmse,esn,13
20,rmse,chaotic_lstm_forecast,11
20,rmse,lstm_forecast,9
20,rmse,naive_mean,9
20,rmse,chaotic_mlp,9
20,rmse,vanilla_mlp,7
20,rmse,chaotic_logistic_net,6
20,rmse,ridge_lag,4
20,rmse,transient_chaotic_esn,3
20,rmse,chaotic_esn,2
1,directional_accuracy,esn,94
1,directional_accuracy,transient_chaotic_esn,6
5,directional_accuracy,esn,33
5,directional_accuracy,transient_chaotic_esn,24
5,directional_accuracy,chaotic_mlp,9
5,directional_accuracy,chaotic_lstm_forecast,7
5,directional_accuracy,lstm_forecast,7
5,directional_accuracy,naive_mean,6
5,directional_accuracy,chaotic_esn,6
5,directional_accuracy,vanilla_mlp,5
5,directional_accuracy,chaotic_logistic_net,2
5,directional_accuracy,ridge_lag,1
20,directional_accuracy,chaotic_mlp,23
20,directional_accuracy,chaotic_logistic_net,21
20,directional_accuracy,transient_chaotic_esn,11
20,directional_accuracy,vanilla_mlp,11
20,directional_accuracy,chaotic_esn,8
20,directional_accuracy,esn,8
20,directional_accuracy,ridge_lag,7
20,directional_accuracy,lstm_forecast,6
20,directional_accuracy,chaotic_lstm_forecast,4
20,directional_accuracy,naive_mean,1
