horizon,target_metric,feature_set,candidate_set,candidate_size,class_idx,model_name
1,rmse,full_features,top_3,3,0,esn
1,rmse,full_features,top_3,3,1,ridge_lag
1,rmse,full_features,top_3,3,2,transient_chaotic_esn
1,rmse,full_features,top_4,4,0,chaotic_esn
1,rmse,full_features,top_4,4,1,esn
1,rmse,full_features,top_4,4,2,ridge_lag
1,rmse,full_features,top_4,4,3,transient_chaotic_esn
1,rmse,full_features,top_5,5,0,chaotic_esn
1,rmse,full_features,top_5,5,1,esn
1,rmse,full_features,top_5,5,2,lstm_forecast
1,rmse,full_features,top_5,5,3,ridge_lag
1,rmse,full_features,top_5,5,4,transient_chaotic_esn
1,rmse,full_features,top_6,6,0,chaotic_esn
1,rmse,full_features,top_6,6,1,chaotic_lstm_forecast
1,rmse,full_features,top_6,6,2,esn
1,rmse,full_features,top_6,6,3,lstm_forecast
1,rmse,full_features,top_6,6,4,ridge_lag
1,rmse,full_features,top_6,6,5,transient_chaotic_esn
1,directional_accuracy,full_features,top_3,3,0,esn
1,directional_accuracy,full_features,top_3,3,1,ridge_lag
1,directional_accuracy,full_features,top_3,3,2,transient_chaotic_esn
1,directional_accuracy,full_features,top_4,4,0,chaotic_esn
1,directional_accuracy,full_features,top_4,4,1,esn
1,directional_accuracy,full_features,top_4,4,2,ridge_lag
1,directional_accuracy,full_features,top_4,4,3,transient_chaotic_esn
1,directional_accuracy,full_features,top_5,5,0,chaotic_esn
1,directional_accuracy,full_features,top_5,5,1,esn
1,directional_accuracy,full_features,top_5,5,2,lstm_forecast
1,directional_accuracy,full_features,top_5,5,3,ridge_lag
1,directional_accuracy,full_features,top_5,5,4,transient_chaotic_esn
1,directional_accuracy,full_features,top_6,6,0,chaotic_esn
1,directional_accuracy,full_features,top_6,6,1,chaotic_lstm_forecast
1,directional_accuracy,full_features,top_6,6,2,esn
1,directional_accuracy,full_features,top_6,6,3,lstm_forecast
1,directional_accuracy,full_features,top_6,6,4,ridge_lag
1,directional_accuracy,full_features,top_6,6,5,transient_chaotic_esn
5,rmse,full_features,top_3,3,0,chaotic_lstm_forecast
5,rmse,full_features,top_3,3,1,naive_mean
5,rmse,full_features,top_3,3,2,naive_zero
5,rmse,full_features,top_4,4,0,chaotic_lstm_forecast
5,rmse,full_features,top_4,4,1,lstm_forecast
5,rmse,full_features,top_4,4,2,naive_mean
5,rmse,full_features,top_4,4,3,naive_zero
5,rmse,full_features,top_5,5,0,chaotic_lstm_forecast
5,rmse,full_features,top_5,5,1,esn
5,rmse,full_features,top_5,5,2,lstm_forecast
5,rmse,full_features,top_5,5,3,naive_mean
5,rmse,full_features,top_5,5,4,naive_zero
5,rmse,full_features,top_6,6,0,chaotic_lstm_forecast
5,rmse,full_features,top_6,6,1,esn
5,rmse,full_features,top_6,6,2,lstm_forecast
5,rmse,full_features,top_6,6,3,naive_mean
5,rmse,full_features,top_6,6,4,naive_zero
5,rmse,full_features,top_6,6,5,ridge_lag
5,directional_accuracy,full_features,top_3,3,0,chaotic_esn
5,directional_accuracy,full_features,top_3,3,1,esn
5,directional_accuracy,full_features,top_3,3,2,transient_chaotic_esn
5,directional_accuracy,full_features,top_4,4,0,chaotic_esn
5,directional_accuracy,full_features,top_4,4,1,esn
5,directional_accuracy,full_features,top_4,4,2,ridge_lag
5,directional_accuracy,full_features,top_4,4,3,transient_chaotic_esn
5,directional_accuracy,full_features,top_5,5,0,chaotic_esn
5,directional_accuracy,full_features,top_5,5,1,chaotic_mlp
5,directional_accuracy,full_features,top_5,5,2,esn
5,directional_accuracy,full_features,top_5,5,3,ridge_lag
5,directional_accuracy,full_features,top_5,5,4,transient_chaotic_esn
5,directional_accuracy,full_features,top_6,6,0,chaotic_esn
5,directional_accuracy,full_features,top_6,6,1,chaotic_mlp
5,directional_accuracy,full_features,top_6,6,2,esn
5,directional_accuracy,full_features,top_6,6,3,naive_mean
5,directional_accuracy,full_features,top_6,6,4,ridge_lag
5,directional_accuracy,full_features,top_6,6,5,transient_chaotic_esn
20,rmse,full_features,top_3,3,0,lstm_forecast
20,rmse,full_features,top_3,3,1,naive_mean
20,rmse,full_features,top_3,3,2,naive_zero
20,rmse,full_features,top_4,4,0,chaotic_lstm_forecast
20,rmse,full_features,top_4,4,1,lstm_forecast
20,rmse,full_features,top_4,4,2,naive_mean
20,rmse,full_features,top_4,4,3,naive_zero
20,rmse,full_features,top_5,5,0,chaotic_lstm_forecast
20,rmse,full_features,top_5,5,1,lstm_forecast
20,rmse,full_features,top_5,5,2,naive_mean
20,rmse,full_features,top_5,5,3,naive_zero
20,rmse,full_features,top_5,5,4,ridge_lag
20,rmse,full_features,top_6,6,0,chaotic_lstm_forecast
20,rmse,full_features,top_6,6,1,chaotic_mlp
20,rmse,full_features,top_6,6,2,lstm_forecast
20,rmse,full_features,top_6,6,3,naive_mean
20,rmse,full_features,top_6,6,4,naive_zero
20,rmse,full_features,top_6,6,5,ridge_lag
20,directional_accuracy,full_features,top_3,3,0,chaotic_esn
20,directional_accuracy,full_features,top_3,3,1,esn
20,directional_accuracy,full_features,top_3,3,2,transient_chaotic_esn
20,directional_accuracy,full_features,top_4,4,0,chaotic_esn
20,directional_accuracy,full_features,top_4,4,1,esn
20,directional_accuracy,full_features,top_4,4,2,naive_mean
20,directional_accuracy,full_features,top_4,4,3,transient_chaotic_esn
20,directional_accuracy,full_features,top_5,5,0,chaotic_esn
20,directional_accuracy,full_features,top_5,5,1,chaotic_logistic_net
20,directional_accuracy,full_features,top_5,5,2,esn
20,directional_accuracy,full_features,top_5,5,3,naive_mean
20,directional_accuracy,full_features,top_5,5,4,transient_chaotic_esn
20,directional_accuracy,full_features,top_6,6,0,chaotic_esn
20,directional_accuracy,full_features,top_6,6,1,chaotic_logistic_net
20,directional_accuracy,full_features,top_6,6,2,esn
20,directional_accuracy,full_features,top_6,6,3,lstm_forecast
20,directional_accuracy,full_features,top_6,6,4,naive_mean
20,directional_accuracy,full_features,top_6,6,5,transient_chaotic_esn
1,rmse,full_plus_basic_features,top_3,3,0,esn
1,rmse,full_plus_basic_features,top_3,3,1,ridge_lag
1,rmse,full_plus_basic_features,top_3,3,2,transient_chaotic_esn
1,rmse,full_plus_basic_features,top_4,4,0,chaotic_esn
1,rmse,full_plus_basic_features,top_4,4,1,esn
1,rmse,full_plus_basic_features,top_4,4,2,ridge_lag
1,rmse,full_plus_basic_features,top_4,4,3,transient_chaotic_esn
1,rmse,full_plus_basic_features,top_5,5,0,chaotic_esn
1,rmse,full_plus_basic_features,top_5,5,1,esn
1,rmse,full_plus_basic_features,top_5,5,2,lstm_forecast
1,rmse,full_plus_basic_features,top_5,5,3,ridge_lag
1,rmse,full_plus_basic_features,top_5,5,4,transient_chaotic_esn
1,rmse,full_plus_basic_features,top_6,6,0,chaotic_esn
1,rmse,full_plus_basic_features,top_6,6,1,chaotic_lstm_forecast
1,rmse,full_plus_basic_features,top_6,6,2,esn
1,rmse,full_plus_basic_features,top_6,6,3,lstm_forecast
1,rmse,full_plus_basic_features,top_6,6,4,ridge_lag
1,rmse,full_plus_basic_features,top_6,6,5,transient_chaotic_esn
1,directional_accuracy,full_plus_basic_features,top_3,3,0,esn
1,directional_accuracy,full_plus_basic_features,top_3,3,1,ridge_lag
1,directional_accuracy,full_plus_basic_features,top_3,3,2,transient_chaotic_esn
1,directional_accuracy,full_plus_basic_features,top_4,4,0,chaotic_esn
1,directional_accuracy,full_plus_basic_features,top_4,4,1,esn
1,directional_accuracy,full_plus_basic_features,top_4,4,2,ridge_lag
1,directional_accuracy,full_plus_basic_features,top_4,4,3,transient_chaotic_esn
1,directional_accuracy,full_plus_basic_features,top_5,5,0,chaotic_esn
1,directional_accuracy,full_plus_basic_features,top_5,5,1,esn
1,directional_accuracy,full_plus_basic_features,top_5,5,2,lstm_forecast
1,directional_accuracy,full_plus_basic_features,top_5,5,3,ridge_lag
1,directional_accuracy,full_plus_basic_features,top_5,5,4,transient_chaotic_esn
1,directional_accuracy,full_plus_basic_features,top_6,6,0,chaotic_esn
1,directional_accuracy,full_plus_basic_features,top_6,6,1,chaotic_lstm_forecast
1,directional_accuracy,full_plus_basic_features,top_6,6,2,esn
1,directional_accuracy,full_plus_basic_features,top_6,6,3,lstm_forecast
1,directional_accuracy,full_plus_basic_features,top_6,6,4,ridge_lag
1,directional_accuracy,full_plus_basic_features,top_6,6,5,transient_chaotic_esn
5,rmse,full_plus_basic_features,top_3,3,0,chaotic_lstm_forecast
5,rmse,full_plus_basic_features,top_3,3,1,naive_mean
5,rmse,full_plus_basic_features,top_3,3,2,naive_zero
5,rmse,full_plus_basic_features,top_4,4,0,chaotic_lstm_forecast
5,rmse,full_plus_basic_features,top_4,4,1,lstm_forecast
5,rmse,full_plus_basic_features,top_4,4,2,naive_mean
5,rmse,full_plus_basic_features,top_4,4,3,naive_zero
5,rmse,full_plus_basic_features,top_5,5,0,chaotic_lstm_forecast
5,rmse,full_plus_basic_features,top_5,5,1,esn
5,rmse,full_plus_basic_features,top_5,5,2,lstm_forecast
5,rmse,full_plus_basic_features,top_5,5,3,naive_mean
5,rmse,full_plus_basic_features,top_5,5,4,naive_zero
5,rmse,full_plus_basic_features,top_6,6,0,chaotic_lstm_forecast
5,rmse,full_plus_basic_features,top_6,6,1,esn
5,rmse,full_plus_basic_features,top_6,6,2,lstm_forecast
5,rmse,full_plus_basic_features,top_6,6,3,naive_mean
5,rmse,full_plus_basic_features,top_6,6,4,naive_zero
5,rmse,full_plus_basic_features,top_6,6,5,ridge_lag
5,directional_accuracy,full_plus_basic_features,top_3,3,0,chaotic_esn
5,directional_accuracy,full_plus_basic_features,top_3,3,1,esn
5,directional_accuracy,full_plus_basic_features,top_3,3,2,transient_chaotic_esn
5,directional_accuracy,full_plus_basic_features,top_4,4,0,chaotic_esn
5,directional_accuracy,full_plus_basic_features,top_4,4,1,esn
5,directional_accuracy,full_plus_basic_features,top_4,4,2,ridge_lag
5,directional_accuracy,full_plus_basic_features,top_4,4,3,transient_chaotic_esn
5,directional_accuracy,full_plus_basic_features,top_5,5,0,chaotic_esn
5,directional_accuracy,full_plus_basic_features,top_5,5,1,chaotic_mlp
5,directional_accuracy,full_plus_basic_features,top_5,5,2,esn
5,directional_accuracy,full_plus_basic_features,top_5,5,3,ridge_lag
5,directional_accuracy,full_plus_basic_features,top_5,5,4,transient_chaotic_esn
5,directional_accuracy,full_plus_basic_features,top_6,6,0,chaotic_esn
5,directional_accuracy,full_plus_basic_features,top_6,6,1,chaotic_mlp
5,directional_accuracy,full_plus_basic_features,top_6,6,2,esn
5,directional_accuracy,full_plus_basic_features,top_6,6,3,naive_mean
5,directional_accuracy,full_plus_basic_features,top_6,6,4,ridge_lag
5,directional_accuracy,full_plus_basic_features,top_6,6,5,transient_chaotic_esn
20,rmse,full_plus_basic_features,top_3,3,0,lstm_forecast
20,rmse,full_plus_basic_features,top_3,3,1,naive_mean
20,rmse,full_plus_basic_features,top_3,3,2,naive_zero
20,rmse,full_plus_basic_features,top_4,4,0,chaotic_lstm_forecast
20,rmse,full_plus_basic_features,top_4,4,1,lstm_forecast
20,rmse,full_plus_basic_features,top_4,4,2,naive_mean
20,rmse,full_plus_basic_features,top_4,4,3,naive_zero
20,rmse,full_plus_basic_features,top_5,5,0,chaotic_lstm_forecast
20,rmse,full_plus_basic_features,top_5,5,1,lstm_forecast
20,rmse,full_plus_basic_features,top_5,5,2,naive_mean
20,rmse,full_plus_basic_features,top_5,5,3,naive_zero
20,rmse,full_plus_basic_features,top_5,5,4,ridge_lag
20,rmse,full_plus_basic_features,top_6,6,0,chaotic_lstm_forecast
20,rmse,full_plus_basic_features,top_6,6,1,chaotic_mlp
20,rmse,full_plus_basic_features,top_6,6,2,lstm_forecast
20,rmse,full_plus_basic_features,top_6,6,3,naive_mean
20,rmse,full_plus_basic_features,top_6,6,4,naive_zero
20,rmse,full_plus_basic_features,top_6,6,5,ridge_lag
20,directional_accuracy,full_plus_basic_features,top_3,3,0,chaotic_esn
20,directional_accuracy,full_plus_basic_features,top_3,3,1,esn
20,directional_accuracy,full_plus_basic_features,top_3,3,2,transient_chaotic_esn
20,directional_accuracy,full_plus_basic_features,top_4,4,0,chaotic_esn
20,directional_accuracy,full_plus_basic_features,top_4,4,1,esn
20,directional_accuracy,full_plus_basic_features,top_4,4,2,naive_mean
20,directional_accuracy,full_plus_basic_features,top_4,4,3,transient_chaotic_esn
20,directional_accuracy,full_plus_basic_features,top_5,5,0,chaotic_esn
20,directional_accuracy,full_plus_basic_features,top_5,5,1,chaotic_logistic_net
20,directional_accuracy,full_plus_basic_features,top_5,5,2,esn
20,directional_accuracy,full_plus_basic_features,top_5,5,3,naive_mean
20,directional_accuracy,full_plus_basic_features,top_5,5,4,transient_chaotic_esn
20,directional_accuracy,full_plus_basic_features,top_6,6,0,chaotic_esn
20,directional_accuracy,full_plus_basic_features,top_6,6,1,chaotic_logistic_net
20,directional_accuracy,full_plus_basic_features,top_6,6,2,esn
20,directional_accuracy,full_plus_basic_features,top_6,6,3,lstm_forecast
20,directional_accuracy,full_plus_basic_features,top_6,6,4,naive_mean
20,directional_accuracy,full_plus_basic_features,top_6,6,5,transient_chaotic_esn
1,rmse,selected_features,top_3,3,0,esn
1,rmse,selected_features,top_3,3,1,ridge_lag
1,rmse,selected_features,top_3,3,2,transient_chaotic_esn
1,rmse,selected_features,top_4,4,0,chaotic_esn
1,rmse,selected_features,top_4,4,1,esn
1,rmse,selected_features,top_4,4,2,ridge_lag
1,rmse,selected_features,top_4,4,3,transient_chaotic_esn
1,rmse,selected_features,top_5,5,0,chaotic_esn
1,rmse,selected_features,top_5,5,1,esn
1,rmse,selected_features,top_5,5,2,lstm_forecast
1,rmse,selected_features,top_5,5,3,ridge_lag
1,rmse,selected_features,top_5,5,4,transient_chaotic_esn
1,rmse,selected_features,top_6,6,0,chaotic_esn
1,rmse,selected_features,top_6,6,1,chaotic_lstm_forecast
1,rmse,selected_features,top_6,6,2,esn
1,rmse,selected_features,top_6,6,3,lstm_forecast
1,rmse,selected_features,top_6,6,4,ridge_lag
1,rmse,selected_features,top_6,6,5,transient_chaotic_esn
1,directional_accuracy,selected_features,top_3,3,0,esn
1,directional_accuracy,selected_features,top_3,3,1,ridge_lag
1,directional_accuracy,selected_features,top_3,3,2,transient_chaotic_esn
1,directional_accuracy,selected_features,top_4,4,0,chaotic_esn
1,directional_accuracy,selected_features,top_4,4,1,esn
1,directional_accuracy,selected_features,top_4,4,2,ridge_lag
1,directional_accuracy,selected_features,top_4,4,3,transient_chaotic_esn
1,directional_accuracy,selected_features,top_5,5,0,chaotic_esn
1,directional_accuracy,selected_features,top_5,5,1,esn
1,directional_accuracy,selected_features,top_5,5,2,lstm_forecast
1,directional_accuracy,selected_features,top_5,5,3,ridge_lag
1,directional_accuracy,selected_features,top_5,5,4,transient_chaotic_esn
1,directional_accuracy,selected_features,top_6,6,0,chaotic_esn
1,directional_accuracy,selected_features,top_6,6,1,chaotic_lstm_forecast
1,directional_accuracy,selected_features,top_6,6,2,esn
1,directional_accuracy,selected_features,top_6,6,3,lstm_forecast
1,directional_accuracy,selected_features,top_6,6,4,ridge_lag
1,directional_accuracy,selected_features,top_6,6,5,transient_chaotic_esn
5,rmse,selected_features,top_3,3,0,chaotic_lstm_forecast
5,rmse,selected_features,top_3,3,1,naive_mean
5,rmse,selected_features,top_3,3,2,naive_zero
5,rmse,selected_features,top_4,4,0,chaotic_lstm_forecast
5,rmse,selected_features,top_4,4,1,lstm_forecast
5,rmse,selected_features,top_4,4,2,naive_mean
5,rmse,selected_features,top_4,4,3,naive_zero
5,rmse,selected_features,top_5,5,0,chaotic_lstm_forecast
5,rmse,selected_features,top_5,5,1,esn
5,rmse,selected_features,top_5,5,2,lstm_forecast
5,rmse,selected_features,top_5,5,3,naive_mean
5,rmse,selected_features,top_5,5,4,naive_zero
5,rmse,selected_features,top_6,6,0,chaotic_lstm_forecast
5,rmse,selected_features,top_6,6,1,esn
