horizon,target_metric,output_dim,model_name
1,rmse,0,chaotic_esn
1,rmse,1,chaotic_logistic_net
1,rmse,2,chaotic_lstm_forecast
1,rmse,3,chaotic_mlp
1,rmse,4,esn
1,rmse,5,lstm_forecast
1,rmse,6,naive_mean
1,rmse,7,naive_zero
1,rmse,8,ridge_lag
1,rmse,9,transient_chaotic_esn
1,rmse,10,vanilla_mlp
1,directional_accuracy,0,chaotic_esn
1,directional_accuracy,1,chaotic_logistic_net
1,directional_accuracy,2,chaotic_lstm_forecast
1,directional_accuracy,3,chaotic_mlp
1,directional_accuracy,4,esn
1,directional_accuracy,5,lstm_forecast
1,directional_accuracy,6,naive_mean
1,directional_accuracy,7,naive_zero
1,directional_accuracy,8,ridge_lag
1,directional_accuracy,9,transient_chaotic_esn
1,directional_accuracy,10,vanilla_mlp
5,rmse,0,chaotic_esn
5,rmse,1,chaotic_logistic_net
5,rmse,2,chaotic_lstm_forecast
5,rmse,3,chaotic_mlp
5,rmse,4,esn
5,rmse,5,lstm_forecast
5,rmse,6,naive_mean
5,rmse,7,naive_zero
5,rmse,8,ridge_lag
5,rmse,9,transient_chaotic_esn
5,rmse,10,vanilla_mlp
5,directional_accuracy,0,chaotic_esn
5,directional_accuracy,1,chaotic_logistic_net
5,directional_accuracy,2,chaotic_lstm_forecast
5,directional_accuracy,3,chaotic_mlp
5,directional_accuracy,4,esn
5,directional_accuracy,5,lstm_forecast
5,directional_accuracy,6,naive_mean
5,directional_accuracy,7,naive_zero
5,directional_accuracy,8,ridge_lag
5,directional_accuracy,9,transient_chaotic_esn
5,directional_accuracy,10,vanilla_mlp
20,rmse,0,chaotic_esn
20,rmse,1,chaotic_logistic_net
20,rmse,2,chaotic_lstm_forecast
20,rmse,3,chaotic_mlp
20,rmse,4,esn
20,rmse,5,lstm_forecast
20,rmse,6,naive_mean
20,rmse,7,naive_zero
20,rmse,8,ridge_lag
20,rmse,9,transient_chaotic_esn
20,rmse,10,vanilla_mlp
20,directional_accuracy,0,chaotic_esn
20,directional_accuracy,1,chaotic_logistic_net
20,directional_accuracy,2,chaotic_lstm_forecast
20,directional_accuracy,3,chaotic_mlp
20,directional_accuracy,4,esn
20,directional_accuracy,5,lstm_forecast
20,directional_accuracy,6,naive_mean
20,directional_accuracy,7,naive_zero
20,directional_accuracy,8,ridge_lag
20,directional_accuracy,9,transient_chaotic_esn
20,directional_accuracy,10,vanilla_mlp
