feature_name,feature_set
hurst_rs,full_plus_basic_features
hurst_dfa,full_plus_basic_features
acf_lag_2,full_plus_basic_features
acf_lag_5,full_plus_basic_features
acf_lag_10,full_plus_basic_features
acf_lag_25,full_plus_basic_features
acf_lag_50,full_plus_basic_features
acf_lag_100,full_plus_basic_features
abs_acf_lag_2,full_plus_basic_features
abs_acf_lag_5,full_plus_basic_features
abs_acf_lag_10,full_plus_basic_features
abs_acf_lag_25,full_plus_basic_features
abs_acf_lag_50,full_plus_basic_features
vr_q10,full_plus_basic_features
lb_ret_stat_50,full_plus_basic_features
lz_complexity,full_plus_basic_features
permutation_entropy,full_plus_basic_features
spectral_flatness,full_plus_basic_features
kurtosis,full_plus_basic_features
robust_kurtosis,full_plus_basic_features
tail_ratio_upper,full_plus_basic_features
hill_tail_index,full_plus_basic_features
correlation_dimension,full_plus_basic_features
embedding_dimension,full_plus_basic_features
selected_delay_tau,full_plus_basic_features
basic_ts_mean,full_plus_basic_features
basic_ts_std,full_plus_basic_features
basic_ts_skewness,full_plus_basic_features
basic_ts_kurtosis,full_plus_basic_features
basic_ts_positive_share,full_plus_basic_features
basic_ts_negative_share,full_plus_basic_features
basic_ts_sign_change_rate,full_plus_basic_features
basic_ts_zero_crossing_rate,full_plus_basic_features
basic_ts_abs_volatility_mean,full_plus_basic_features
basic_ts_rolling_vol_mean,full_plus_basic_features
basic_ts_rolling_vol_std,full_plus_basic_features
