run_id,repeat_id,split_seed,horizon,target_metric,meta_model,series_id,selected_model,oracle_model,best_single_model,achieved_metric,oracle_metric,baseline_metric,regret_to_oracle,improvement_vs_best_single,routing_hit_oracle,predicted_metric_vector,actual_metric_vector,target_model_order,count_models,count_features
meta_modeling_v1_20260331T120829Z,1,42,1,rmse,ridge,RU:AFKS,esn,esn,esn,0.019093493993639313,0.019093493993639313,0.019093493993639313,0.0,0.0,1,"[0.03580918792079553, 0.08121896433140685, 0.0412235002737012, 0.05392236240113604, 0.0322718944289878, 0.04092115715208461, 0.04116955282873326, 0.041160032758685516, 0.04002683971568058, 0.032826684203282094, 0.04508068650839275]","[0.022390156344394542, 0.05996539354963365, 0.02548787719263749, 0.03224830561430204, 0.019093493993639313, 0.024975545186697572, 0.025419785295792866, 0.025419995050220155, 0.022441376801962686, 0.01942237995611214, 0.028315005276833696]","[""chaotic_esn"", ""chaotic_logistic_net"", ""chaotic_lstm_forecast"", ""chaotic_mlp"", ""esn"", ""lstm_forecast"", ""naive_mean"", ""naive_zero"", ""ridge_lag"", ""transient_chaotic_esn"", ""vanilla_mlp""]",11,25
meta_modeling_v1_20260331T120829Z,1,42,1,rmse,ridge,RU:AGRO,esn,esn,esn,0.01895934237225954,0.01895934237225954,0.01895934237225954,0.0,0.0,1,"[0.01630540273625984, 0.054535234323943804, 0.019225435576224442, 0.02941333320201943, 0.01428728005806626, 0.018858964929546307, 0.019178005052466432, 0.01917495458351247, 0.01658520157756356, 0.014450653209420836, 0.02259033547979737]","[0.021148256268663776, 0.05936596941956472, 0.024462708071316723, 0.0323963000006357, 0.01895934237225954, 0.024053650535707065, 0.024484080322407932, 0.024473565708831933, 0.023391712197136948, 0.019259448152926285, 0.027011709789880815]","[""chaotic_esn"", ""chaotic_logistic_net"", ""chaotic_lstm_forecast"", ""chaotic_mlp"", ""esn"", ""lstm_forecast"", ""naive_mean"", ""naive_zero"", ""ridge_lag"", ""transient_chaotic_esn"", ""vanilla_mlp""]",11,25
meta_modeling_v1_20260331T120829Z,1,42,1,rmse,ridge,RU:BRZL,esn,esn,esn,0.022133326092972142,0.022133326092972142,0.022133326092972142,0.0,0.0,1,"[0.025177296060502105, 0.060294778335553384, 0.029647993763946917, 0.036775594691822525, 0.02252136796763482, 0.029245947044179488, 0.029654840711637653, 0.029647662722766782, 0.026541597344413262, 0.02281954615094542, 0.032087867916480384]","[0.02542477156339816, 0.061334263476428556, 0.028575856868366313, 0.0357868421281985, 0.022133326092972142, 0.028329739780648282, 0.02861548858676577, 0.028595059959582596, 0.02716948342594658, 0.022391429499181912, 0.031065015815539505]","[""chaotic_esn"", ""chaotic_logistic_net"", ""chaotic_lstm_forecast"", ""chaotic_mlp"", ""esn"", ""lstm_forecast"", ""naive_mean"", ""naive_zero"", ""ridge_lag"", ""transient_chaotic_esn"", ""vanilla_mlp""]",11,25
meta_modeling_v1_20260331T120829Z,1,42,1,rmse,ridge,RU:CHGZ,esn,esn,esn,0.03202419883803798,0.03202419883803798,0.03202419883803798,0.0,0.0,1,"[0.06849106761731956, 0.10718285240595121, 0.06844246527295111, 0.07842691851651465, 0.05354359825732764, 0.06793593456565214, 0.06834451793260994, 0.06834365169286341, 0.0602231173616713, 0.05451150964724652, 0.07293729249936992]","[0.050993993531672395, 0.09781032441965462, 0.04221653961404849, 0.043608968351026, 0.03202419883803798, 0.041637004015389785, 0.042100665692620304, 0.04208912140943019, 0.03356197789683003, 0.03244027953817106, 0.044746862265284744]","[""chaotic_esn"", ""chaotic_logistic_net"", ""chaotic_lstm_forecast"", ""chaotic_mlp"", ""esn"", ""lstm_forecast"", ""naive_mean"", ""naive_zero"", ""ridge_lag"", ""transient_chaotic_esn"", ""vanilla_mlp""]",11,25
meta_modeling_v1_20260331T120829Z,1,42,1,rmse,ridge,RU:CHMK,esn,esn,esn,0.03072427962997008,0.03072427962997008,0.03072427962997008,0.0,0.0,1,"[0.015202729892728403, 0.0540028620991221, 0.01671620544060186, 0.02579663813224943, 0.011908575811179795, 0.01634318520475557, 0.016694435031773106, 0.016676696623470613, 0.01402185789317921, 0.012017817552156154, 0.01861219136817374]","[0.03369158034692774, 0.06651255857616692, 0.03899467852811511, 0.04535187130222015, 0.03072427962997008, 0.038862416983254634, 0.039043970425889, 0.03903297554690786, 0.03597954650053156, 0.031120073789407048, 0.04080279357191923]","[""chaotic_esn"", ""chaotic_logistic_net"", ""chaotic_lstm_forecast"", ""chaotic_mlp"", ""esn"", ""lstm_forecast"", ""naive_mean"", ""naive_zero"", ""ridge_lag"", ""transient_chaotic_esn"", ""vanilla_mlp""]",11,25
meta_modeling_v1_20260331T120829Z,1,42,1,rmse,ridge,RU:CNTL,esn,esn,esn,0.0222501554806719,0.0222501554806719,0.0222501554806719,0.0,0.0,1,"[0.02165475998172342, 0.055919395384484, 0.024536308785910288, 0.03209248200548111, 0.01832733450545876, 0.024173457090125555, 0.024491530593612587, 0.024490286680577747, 0.020989053217541756, 0.018618786048563082, 0.02632521539218695]","[0.02624867100618617, 0.0622807378095737, 0.029437539784918722, 0.03867859728136535, 0.0222501554806719, 0.02942073191418963, 0.029433366817178456, 0.029435984923875377, 0.025679160994593737, 0.022679730782416103, 0.032246967546855354]","[""chaotic_esn"", ""chaotic_logistic_net"", ""chaotic_lstm_forecast"", ""chaotic_mlp"", ""esn"", ""lstm_forecast"", ""naive_mean"", ""naive_zero"", ""ridge_lag"", ""transient_chaotic_esn"", ""vanilla_mlp""]",11,25
meta_modeling_v1_20260331T120829Z,1,42,1,rmse,ridge,RU:DIOD,esn,esn,esn,0.02143725345425462,0.02143725345425462,0.02143725345425462,0.0,0.0,1,"[0.017659905773757062, 0.05252507926841292, 0.019258838623182367, 0.027492299310146018, 0.014047105613471236, 0.01882343073823943, 0.019258939669467665, 0.019255497999459942, 0.015300613374267233, 0.014194469906591053, 0.021236260654066114]","[0.02383415581636377, 0.06043246405298107, 0.02765816941879483, 0.03377137048364901, 0.02143725345425462, 0.027420355584612227, 0.02767957803207919, 0.027684117197834784, 0.025569234969574493, 0.021705311591752822, 0.030708576547025537]","[""chaotic_esn"", ""chaotic_logistic_net"", ""chaotic_lstm_forecast"", ""chaotic_mlp"", ""esn"", ""lstm_forecast"", ""naive_mean"", ""naive_zero"", ""ridge_lag"", ""transient_chaotic_esn"", ""vanilla_mlp""]",11,25
meta_modeling_v1_20260331T120829Z,1,42,1,rmse,ridge,RU:ELFV,esn,esn,esn,0.019416934989289952,0.019416934989289952,0.019416934989289952,0.0,0.0,1,"[0.013528742502962654, 0.047639208921316886, 0.01589373693449332, 0.023897292093639, 0.011640579440504284, 0.015481879594671122, 0.015900675775748024, 0.015897030060538497, 0.013255100210818771, 0.01172753519041965, 0.018150880396351446]","[0.02254407859835712, 0.060760259671634356, 0.02517988814051317, 0.033614599616430575, 0.019416934989289952, 0.024929352917640868, 0.02524879136047042, 0.025245006773795646, 0.023789843480407333, 0.019614265522934122, 0.029082461667615498]","[""chaotic_esn"", ""chaotic_logistic_net"", ""chaotic_lstm_forecast"", ""chaotic_mlp"", ""esn"", ""lstm_forecast"", ""naive_mean"", ""naive_zero"", ""ridge_lag"", ""transient_chaotic_esn"", ""vanilla_mlp""]",11,25
meta_modeling_v1_20260331T120829Z,1,42,1,rmse,ridge,RU:GMKN,transient_chaotic_esn,esn,esn,0.014476356629535387,0.014245932963356047,0.014245932963356047,0.00023042366617933956,-0.00023042366617933956,0,"[0.005937885769235707, 0.040810507606380164, 0.007562901962152674, 0.01658542284897105, 0.004873168263567068, 0.007116445558085674, 0.007535604868266779, 0.0075299034694255446, 0.00495611779731614, 0.004765694259696085, 0.010571496501320957]","[0.01622427863307409, 0.058277092222701145, 0.018552958961083117, 0.03212190399477864, 0.014245932963356047, 0.018221214082792255, 0.01858974956550352, 0.01854728163042773, 0.01737967611021667, 0.014476356629535387, 0.023662148550308706]","[""chaotic_esn"", ""chaotic_logistic_net"", ""chaotic_lstm_forecast"", ""chaotic_mlp"", ""esn"", ""lstm_forecast"", ""naive_mean"", ""naive_zero"", ""ridge_lag"", ""transient_chaotic_esn"", ""vanilla_mlp""]",11,25
meta_modeling_v1_20260331T120829Z,1,42,1,rmse,ridge,RU:IRKT,esn,esn,esn,0.03141886004096532,0.03141886004096532,0.03141886004096532,0.0,0.0,1,"[0.032027728112113685, 0.06871856762242655, 0.03491677367398521, 0.04384348665815943, 0.026871353053982777, 0.03438041994686315, 0.0349738722352254, 0.034969132696475336, 0.030505068738012384, 0.027242049192849532, 0.03753016796538422]","[0.034982162150121725, 0.06827655896294547, 0.04082232971843324, 0.04583123533296246, 0.03141886004096532, 0.04022385272566962, 0.040823842897799986, 0.04080235407815441, 0.03555335734281708, 0.03184818980788794, 0.04229030259663834]","[""chaotic_esn"", ""chaotic_logistic_net"", ""chaotic_lstm_forecast"", ""chaotic_mlp"", ""esn"", ""lstm_forecast"", ""naive_mean"", ""naive_zero"", ""ridge_lag"", ""transient_chaotic_esn"", ""vanilla_mlp""]",11,25
