feature_name,source_block,screening_status,set_name
abs_acf_lag_1,A,keep_candidate,clustering_features_with_chaos_v1
abs_acf_lag_10,A,keep_candidate,clustering_features_with_chaos_v1
abs_acf_lag_100,A,keep_candidate,clustering_features_with_chaos_v1
abs_acf_lag_11,A,keep_candidate,clustering_features_with_chaos_v1
abs_acf_lag_12,A,keep_candidate,clustering_features_with_chaos_v1
abs_acf_lag_125,A,keep_candidate,clustering_features_with_chaos_v1
abs_acf_lag_13,A,keep_candidate,clustering_features_with_chaos_v1
abs_acf_lag_14,A,keep_candidate,clustering_features_with_chaos_v1
abs_acf_lag_15,A,keep_candidate,clustering_features_with_chaos_v1
abs_acf_lag_150,A,keep_candidate,clustering_features_with_chaos_v1
abs_acf_lag_16,A,keep_candidate,clustering_features_with_chaos_v1
abs_acf_lag_17,A,keep_candidate,clustering_features_with_chaos_v1
abs_acf_lag_18,A,keep_candidate,clustering_features_with_chaos_v1
abs_acf_lag_19,A,keep_candidate,clustering_features_with_chaos_v1
abs_acf_lag_20,A,keep_candidate,clustering_features_with_chaos_v1
abs_acf_lag_200,A,keep_candidate,clustering_features_with_chaos_v1
abs_acf_lag_25,A,keep_candidate,clustering_features_with_chaos_v1
abs_acf_lag_250,A,keep_candidate,clustering_features_with_chaos_v1
abs_acf_lag_30,A,keep_candidate,clustering_features_with_chaos_v1
abs_acf_lag_40,A,keep_candidate,clustering_features_with_chaos_v1
abs_acf_lag_50,A,keep_candidate,clustering_features_with_chaos_v1
abs_acf_lag_6,A,keep_candidate,clustering_features_with_chaos_v1
abs_acf_lag_7,A,keep_candidate,clustering_features_with_chaos_v1
abs_acf_lag_75,A,keep_candidate,clustering_features_with_chaos_v1
abs_acf_lag_8,A,keep_candidate,clustering_features_with_chaos_v1
abs_acf_lag_9,A,keep_candidate,clustering_features_with_chaos_v1
acf_lag_10,A,keep_candidate,clustering_features_with_chaos_v1
acf_lag_100,A,keep_candidate,clustering_features_with_chaos_v1
acf_lag_11,A,keep_candidate,clustering_features_with_chaos_v1
acf_lag_12,A,keep_candidate,clustering_features_with_chaos_v1
acf_lag_125,A,keep_candidate,clustering_features_with_chaos_v1
acf_lag_13,A,keep_candidate,clustering_features_with_chaos_v1
acf_lag_14,A,keep_candidate,clustering_features_with_chaos_v1
acf_lag_15,A,keep_candidate,clustering_features_with_chaos_v1
acf_lag_150,A,keep_candidate,clustering_features_with_chaos_v1
acf_lag_16,A,keep_candidate,clustering_features_with_chaos_v1
acf_lag_17,A,keep_candidate,clustering_features_with_chaos_v1
acf_lag_18,A,keep_candidate,clustering_features_with_chaos_v1
acf_lag_19,A,keep_candidate,clustering_features_with_chaos_v1
acf_lag_2,A,keep_candidate,clustering_features_with_chaos_v1
acf_lag_20,A,keep_candidate,clustering_features_with_chaos_v1
acf_lag_200,A,keep_candidate,clustering_features_with_chaos_v1
acf_lag_25,A,keep_candidate,clustering_features_with_chaos_v1
acf_lag_250,A,keep_candidate,clustering_features_with_chaos_v1
acf_lag_3,A,keep_candidate,clustering_features_with_chaos_v1
acf_lag_30,A,keep_candidate,clustering_features_with_chaos_v1
acf_lag_4,A,keep_candidate,clustering_features_with_chaos_v1
acf_lag_40,A,keep_candidate,clustering_features_with_chaos_v1
acf_lag_5,A,keep_candidate,clustering_features_with_chaos_v1
acf_lag_50,A,keep_candidate,clustering_features_with_chaos_v1
acf_lag_6,A,keep_candidate,clustering_features_with_chaos_v1
acf_lag_7,A,keep_candidate,clustering_features_with_chaos_v1
acf_lag_75,A,keep_candidate,clustering_features_with_chaos_v1
acf_lag_8,A,keep_candidate,clustering_features_with_chaos_v1
acf_lag_9,A,keep_candidate,clustering_features_with_chaos_v1
hurst_dfa,A,keep_candidate,clustering_features_with_chaos_v1
hurst_rs,A,keep_candidate,clustering_features_with_chaos_v1
lb_absret_stat_50,A,review_highly_correlated,clustering_features_with_chaos_v1
lb_ret_stat_50,A,review_highly_correlated,clustering_features_with_chaos_v1
vr_q10,A,review_highly_correlated,clustering_features_with_chaos_v1
lz_complexity,B,keep_candidate,clustering_features_with_chaos_v1
permutation_entropy,B,keep_candidate,clustering_features_with_chaos_v1
spectral_flatness,B,review_highly_correlated,clustering_features_with_chaos_v1
hill_tail_index,C,keep_candidate,clustering_features_with_chaos_v1
kurtosis,C,keep_candidate,clustering_features_with_chaos_v1
robust_kurtosis,C,keep_candidate,clustering_features_with_chaos_v1
tail_ratio_lower,C,keep_candidate,clustering_features_with_chaos_v1
tail_ratio_upper,C,review_highly_correlated,clustering_features_with_chaos_v1
correlation_dimension,D,reserve_candidate,clustering_features_with_chaos_v1
embedding_dimension,D,reserve_candidate,clustering_features_with_chaos_v1
fnn_min_fraction,D,reserve_candidate,clustering_features_with_chaos_v1
selected_delay_tau,D,reserve_candidate,clustering_features_with_chaos_v1
