config_id,feature_set,scaler,space_type,pca_n_components,algorithm,n_clusters_requested,n_clusters_actual,silhouette_score,davies_bouldin_score,calinski_harabasz_score,cluster_size_min,cluster_size_max,cluster_size_ratio_max,n_singleton_clusters,n_small_clusters,n_rows,n_features_input,n_features_used,n_missing_imputed,explained_variance_ratio_sum,avg_assignment_confidence,min_assignment_confidence,entropy_of_assignment,ranking_score,notes
cfg_0001,base,identity,original,,gmm,2,2,0.9007172955199103,0.49796808210629695,473.4689139816479,9,409,0.9784688995215312,0,1,418,22,22,0,,1.0,1.0,2.763102111592855e-11,0.47394339302730293,
cfg_0002,base,identity,original,,gmm,3,3,0.3396271285992096,1.2426729897328066,284.25504278086487,9,275,0.6578947368421053,0,1,418,22,22,0,,0.9843244159063359,0.5061550339825033,0.04137009768083491,-0.08251609030551839,
cfg_0003,base,identity,original,,gmm,4,4,0.3258380176153352,1.0543134752628562,465.1615371990911,2,271,0.6483253588516746,0,2,418,22,22,0,,0.985537723642245,0.5387833212319341,0.03878225993364038,-0.016369495776711346,
cfg_0004,base,identity,original,,gmm,5,5,0.32649281495030624,0.9235591800363918,430.32028790873375,2,271,0.6483253588516746,0,3,418,22,22,0,,0.9855377236422432,0.5387833212317408,0.03878225996127275,-0.047018782260859704,
cfg_0005,base,identity,original,,gmm,6,6,0.1820241552884453,0.9491132125635536,341.60217755550593,1,254,0.6076555023923444,1,4,418,22,22,0,,0.9933787031332004,0.7467774261596605,0.022902629971081705,-0.29340710743495874,
cfg_0006,base,identity,original,,gmm,7,7,0.21454639940494696,0.8211063244544716,462.2913888558923,1,220,0.5263157894736842,1,5,418,22,22,0,,0.9885712151043216,0.5103735107097864,0.030141062303888647,-0.14354498028170498,
cfg_0007,base,identity,original,,gmm,8,8,0.17498876627272028,0.816653436646856,508.5857993616822,1,189,0.45215311004784686,2,4,418,22,22,0,,0.9932516719390762,0.5594460126518249,0.02082463710370969,-0.08782350480379147,
cfg_0008,base,identity,original,,agglomerative,2,2,0.8981636896369144,0.32704500660742486,434.47121761272314,7,411,0.9832535885167464,0,1,418,22,22,0,,,,,0.4708915254484608,
cfg_0009,base,identity,original,,agglomerative,3,3,0.9030956708446274,0.44801821500172895,531.0594097292146,2,409,0.9784688995215312,0,2,418,22,22,0,,,,,0.4647960725784078,
cfg_0010,base,identity,original,,agglomerative,4,4,0.5476712345365063,0.8729107798175496,497.7517011434215,2,339,0.8110047846889952,0,2,418,22,22,0,,,,,0.16679893085351807,
cfg_0011,base,identity,original,,agglomerative,5,5,0.5619439220360983,0.6733110517259695,522.7942996153337,2,339,0.8110047846889952,0,2,418,22,22,0,,,,,0.2520816196582968,
cfg_0012,base,identity,original,,agglomerative,6,6,0.5642469755092175,0.5896699978883151,561.0464822417687,2,339,0.8110047846889952,0,3,418,22,22,0,,,,,0.2568278100757425,
cfg_0013,base,identity,original,,agglomerative,7,7,0.5632454912856728,0.46152765198899026,580.7066638640972,1,339,0.8110047846889952,2,4,418,22,22,0,,,,,0.17698120852831178,
cfg_0014,base,identity,original,,agglomerative,8,8,0.3601247281647113,0.5696821769478021,628.194378682304,1,226,0.5406698564593302,2,4,418,22,22,0,,,,,0.15251113995226007,
cfg_0015,base,identity,pca,2.0,gmm,2,2,0.7388462935945933,1.2259796808121701,176.2989662719122,38,380,0.9090909090909091,0,0,418,22,2,0,0.9987315200793556,0.9826437187026176,0.5148402811995854,0.04751988969186097,0.23404226810343481,
cfg_0016,base,identity,pca,2.0,gmm,3,3,0.41348782148487695,1.2197106525305081,180.4864743408303,19,282,0.6746411483253588,0,1,418,22,2,0,0.9987315200793556,0.9300999879031219,0.5103785859692367,0.1869565884169571,-0.07093383635868646,
cfg_0017,base,identity,pca,2.0,gmm,4,4,0.40925619728866663,1.0787125236452118,216.22707546487354,2,281,0.6722488038277512,0,2,418,22,2,0,0.9987315200793556,0.929222562209011,0.5149771476565579,0.1923357115800951,-0.08507769969524684,
