return_space,horizon,metric,best_model,best_value
log,1,rmse,naive_zero,0.02842853095020389
log,1,mae,naive_zero,0.01661373154930984
log,1,directional_accuracy,esn,0.49250631768914055
log,5,rmse,naive_zero,0.05951960951971484
log,5,mae,naive_zero,0.03758154058556576
log,5,directional_accuracy,naive_mean,0.5065629888401411
log,20,rmse,naive_zero,0.11294518269888441
log,20,mae,naive_zero,0.07932925849125391
log,20,directional_accuracy,naive_mean,0.5253711129354567
simple,1,rmse,naive_zero,0.05576224266076557
simple,1,mae,naive_zero,0.0204699332721818
simple,1,directional_accuracy,esn,0.49250631768914055
simple,5,rmse,naive_zero,0.1010581226252524
simple,5,mae,naive_zero,0.04497848906642276
simple,5,directional_accuracy,naive_mean,0.5065629888401411
simple,20,rmse,naive_zero,0.18633454001081323
simple,20,mae,naive_zero,0.09942557427857014
simple,20,directional_accuracy,naive_mean,0.5253711129354567
