horizon,model_name,n_tasks,rmse,mae,directional_accuracy
1,chaotic_esn,1254,0.034505828865180416,0.02123388040047028,0.48483002859815927
1,chaotic_logistic_net,1254,0.03137004219846651,0.02050902877524843,0.480195262549162
1,chaotic_lstm_forecast,1254,0.0284937013054756,0.016719032669936715,0.4866548550976318
1,chaotic_mlp,1254,0.02949150679308173,0.01807046498325625,0.48085635393038867
1,esn,1254,0.028912673029285442,0.017101825668583884,0.49250631768914055
1,lstm_forecast,1254,0.028487788038327383,0.01673490285809771,0.4854297046683988
1,naive_mean,1254,0.028440331771595342,0.016656578337204363,0.482672728662215
1,naive_zero,1254,0.02842853095020389,0.01661373154930984,0.043436592057274126
1,ridge_lag,1254,0.02876622463286114,0.0170874875231813,0.48900213896637346
1,transient_chaotic_esn,1254,0.02891024249827575,0.017103820899922722,0.49181472238883855
1,vanilla_mlp,1254,0.028866864176582366,0.017358141952128803,0.48488422780473883
5,chaotic_esn,1254,0.07062174919381958,0.0462180613557957,0.4993277249914351
5,chaotic_logistic_net,1254,0.06234235658330941,0.041170478119408244,0.49509864947831417
5,chaotic_lstm_forecast,1254,0.059981181708072755,0.03804498085929095,0.49987154858605276
5,chaotic_mlp,1254,0.06078439491109862,0.03924407753172448,0.49474016529394366
5,esn,1254,0.061184109501815104,0.039384049106704,0.5019029674506928
5,lstm_forecast,1254,0.059885049334827294,0.038028750419227986,0.49657196799022596
5,naive_mean,1254,0.059650888616664025,0.037788102910486635,0.5065629888401411
5,naive_zero,1254,0.05951960951971484,0.03758154058556576,0.018234120848950142
5,ridge_lag,1254,0.06087233382513329,0.03915047180437433,0.5020307528940267
5,transient_chaotic_esn,1254,0.06146668814525312,0.03970292544344004,0.5019966526823242
5,vanilla_mlp,1254,0.06077632205004981,0.039086923340888466,0.4974475516535878
20,chaotic_esn,1254,0.1258964033643924,0.08770411673458268,0.5167533695083334
20,chaotic_logistic_net,1254,0.11961418413563304,0.0865189426776195,0.5039867924363737
20,chaotic_lstm_forecast,1254,0.11501126641360497,0.08138450937337544,0.5143409060003373
20,chaotic_mlp,1254,0.11827402642539259,0.08515452599111836,0.4990725142102161
20,esn,1254,0.1170514768975257,0.0833762571047681,0.5172841751820393
20,lstm_forecast,1254,0.11428457865423958,0.08077241267567083,0.516211608214844
20,naive_mean,1254,0.11393068501246201,0.08055983981618872,0.5253711129354567
20,naive_zero,1254,0.11294518269888441,0.07932925849125391,0.007298793675132788
20,ridge_lag,1254,0.11618598765912215,0.08281410742771897,0.5183468911155182
20,transient_chaotic_esn,1254,0.11925105313176744,0.08477573707357479,0.5173274589657749
20,vanilla_mlp,1254,0.11655937239193404,0.0827908274702863,0.5085491742435035
