column,dtype,non_null,n_rows
run_id,str,41382,41382
model_name,str,41382,41382
series_id,str,41382,41382
ticker,str,41382,41382
market,str,41382,41382
horizon,int64,41382,41382
fold_id,int64,41382,41382
n_train,int64,41382,41382
n_test,int64,41382,41382
fit_seconds,float64,41382,41382
predict_seconds,float64,41382,41382
status,str,41382,41382
config_hash,str,41382,41382
mae,float64,41382,41382
mse,float64,41382,41382
rmse,float64,41382,41382
mase,float64,41382,41382
mape,float64,41382,41382
smape,float64,41382,41382
huber,float64,41382,41382
directional_accuracy,float64,41382,41382
medae,float64,41382,41382
bias,float64,41382,41382
r2,float64,41382,41382
r2_oos,float64,41382,41382
