horizon,metric,estimator,mean,std,se,ci95_low,ci95_high,bootstrap_ci_low,bootstrap_ci_high,clustered_bootstrap_ci_low,clustered_bootstrap_ci_high,n_obs,n_instruments,n_seeds,direction
1,directional_accuracy,metamodel,0.4950353263430229,0.03292104388989298,0.0009274453437882429,0.49321581767966766,0.4968548350063781,0.49316799378240495,0.4967937384061276,0.4910517049782358,0.49855252493485497,1260,280,5,max
1,directional_accuracy,best_fixed,0.49275287935047346,0.031025757794087495,0.0008740517068616493,0.4910381209946233,0.4944676377063236,0.4910194080801471,0.4944246059848828,0.489086411529968,0.4959114678213889,1260,280,5,max
1,directional_accuracy,oracle,0.5061108886953104,0.029823381911661912,0.0008401786037678181,0.5044625842873363,0.5077591931032845,0.5044200343694006,0.5077227749141037,0.5020428342339364,0.5094055905392851,1260,280,5,max
5,directional_accuracy,metamodel,0.51036695745996,0.051840132570829436,0.0014604302869308948,0.5075018122769098,0.5132321026430101,0.5074664207175205,0.5131790032330791,0.5058558764491233,0.5148812681199639,1260,280,5,max
5,directional_accuracy,best_fixed,0.5069779241099027,0.05971479118617572,0.0016822736613740443,0.5036775554989592,0.5102782927208462,0.5035576431916431,0.5102428275224985,0.5016663265454249,0.5118708563975944,1260,280,5,max
5,directional_accuracy,oracle,0.5279545266441396,0.04688861024855981,0.0013209369483292482,0.525363046469778,0.5305460068185011,0.5252872008443732,0.5305781114041879,0.5233163646966205,0.5323997925606593,1260,280,5,max
20,directional_accuracy,metamodel,0.5263163918921081,0.0969393908693824,0.0027309579548016414,0.5209586619824144,0.5316741218018018,0.5213132038725318,0.5317247514432518,0.5185254662241877,0.5342486840854591,1260,280,5,max
20,directional_accuracy,best_fixed,0.5246075982369403,0.09855164106307845,0.0027763779584979447,0.5191607610922288,0.5300544353816518,0.5189618221878516,0.5302156126369126,0.5161018680885447,0.5321307082867758,1260,280,5,max
20,directional_accuracy,oracle,0.5472049235760049,0.08639581897299939,0.002433926466526171,0.5424299248965947,0.5519799222554151,0.5423026675598567,0.5519932600375272,0.5398557136120935,0.5544316101318447,1260,280,5,max
1,rmse,metamodel,0.027125783457909496,0.01683823883743126,0.00047436363985299936,0.02619515314306226,0.028056413772756732,0.026229100782972487,0.02804181707918598,0.025654360028114644,0.02862732450289553,1260,280,5,min
1,rmse,best_fixed,0.027127294312563895,0.01683934718312769,0.0004743948639557009,0.026196602740710246,0.028057985884417543,0.026274522020248155,0.028096963118035046,0.025743975781188283,0.028590911472727888,1260,280,5,min
1,rmse,oracle,0.027058216373074453,0.016781558595110272,0.0004727668549211118,0.026130718710772775,0.02798571403537613,0.02615853866022459,0.028002776066853318,0.025542572033700504,0.028646283982905547,1260,280,5,min
5,rmse,metamodel,0.05790064699637473,0.03545234523355182,0.0009987566804746854,0.055941236185938305,0.05986005780681116,0.05605160010105377,0.05994369974254646,0.054868055255860575,0.060975451900994425,1260,280,5,min
5,rmse,best_fixed,0.05790298961790308,0.03545317375298879,0.0009987800213655947,0.05594353301613943,0.05986244621966673,0.05599473059186061,0.059885813088533336,0.055040452767216884,0.06087107007558062,1260,280,5,min
5,rmse,oracle,0.05768856109146025,0.03540968428282501,0.000997554844340768,0.055731508103263425,0.05964561407965707,0.05578240808635437,0.05966892518862218,0.0547809194475346,0.06089975624348235,1260,280,5,min
20,rmse,metamodel,0.1112245020158371,0.07009872157186078,0.0019748077595829264,0.10735022537938801,0.11509877865228618,0.1076266942967069,0.11518580766985406,0.10570915854021712,0.11727852756684175,1260,280,5,min
20,rmse,best_fixed,0.1112580410818859,0.07001430097712237,0.0019724294787552632,0.10738843027571868,0.11512765188805313,0.10750157919038394,0.11531516343074082,0.1056665500703471,0.11687230628827676,1260,280,5,min
20,rmse,oracle,0.10936953767466707,0.06541577523505962,0.0018428806922091653,0.10575408215757057,0.11298499319176358,0.1058828658425595,0.11307668957448441,0.10398783371403564,0.11474780656875067,1260,280,5,min
