horizon,target_metric,comparison,level,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,positive_share,negative_share,zero_share,positive_count,negative_count,zero_count,n_obs
1,directional_accuracy,metamodel_minus_best_fixed,instrument,0.0024396534014664286,0.012508380453711105,-0.03899721448467963,-0.028309228650137686,-0.016442884637156086,-0.0020661157024793,0.0,0.007575757575757541,0.024196510560146895,0.04008953168044073,0.05096418732782367,0.4392857142857143,0.3142857142857143,0.24642857142857144,123,88,69,280
1,directional_accuracy,metamodel_minus_oracle,instrument,-0.010583962098864842,0.00859923963986364,-0.04683195592286504,-0.03747933884297521,-0.02617079889807165,-0.015151515151515138,-0.008436639118457323,-0.004132231404958697,0.0,0.0,0.0,0.0,0.9071428571428571,0.09285714285714286,0,254,26,280
1,rmse,metamodel_minus_best_fixed,instrument,2.0293833606656296e-06,2.9562250013447725e-05,-2.9009199972486466e-05,-9.760813632519946e-06,-2.1720325875668412e-07,0.0,0.0,0.0,4.4880626110579644e-06,1.6334505871058025e-05,0.0004908696904535667,0.09642857142857143,0.05714285714285714,0.8464285714285714,27,16,237,280
1,rmse,metamodel_minus_oracle,instrument,-7.2068179538934e-05,0.0001816455533082264,-0.0018167517090914645,-0.0007167615869254426,-0.0003613093950193147,-4.351253350640908e-05,-2.1549595997616182e-05,-9.26650488582466e-06,-1.1962060309790898e-06,0.0,0.0,0.0,0.9821428571428571,0.017857142857142856,0,275,5,280
5,directional_accuracy,metamodel_minus_best_fixed,instrument,0.0033003062774031714,0.02352889855990177,-0.07959183673469383,-0.04478911564625845,-0.034727891156462576,-0.007467763224692841,0.0,0.014285714285714277,0.039659863945578175,0.07397574123989191,0.11088435374149652,0.44642857142857145,0.35714285714285715,0.19642857142857142,125,100,55,280
5,directional_accuracy,metamodel_minus_oracle,instrument,-0.017534487707667745,0.014699045280814556,-0.07959183673469387,-0.06032653061224491,-0.044285714285714296,-0.02517006802721089,-0.01428571428571428,-0.006122448979591836,0.0,0.0,0.0,0.0,0.9285714285714286,0.07142857142857142,0,260,20,280
5,rmse,metamodel_minus_best_fixed,instrument,2.646398013777471e-06,1.5826262517319403e-05,-3.360148779006667e-05,-4.6860599187958916e-07,0.0,0.0,0.0,0.0,2.1195613625420818e-07,7.698892547224538e-05,0.00016989729612143335,0.05,0.010714285714285714,0.9392857142857143,14,3,263,280
5,rmse,metamodel_minus_oracle,instrument,-0.0002122266858430265,0.00022316779847179498,-0.0015979466513898015,-0.000977132278515002,-0.0006386847934086091,-0.0002879322407334702,-0.00014832780215893204,-6.662439336102498e-05,-1.0810247040706974e-05,0.0,0.0,0.0,0.9678571428571429,0.03214285714285714,0,271,9,280
20,directional_accuracy,metamodel_minus_best_fixed,instrument,0.0010864486342625408,0.015167606265066205,-0.06515775034293547,-0.06039094650205757,-0.015843621399176906,0.0,0.0,0.0,0.025411522633744847,0.06600966586214273,0.0850480109739369,0.16071428571428573,0.12857142857142856,0.7107142857142857,45,36,199,280
20,directional_accuracy,metamodel_minus_oracle,instrument,-0.021081771964192298,0.02222154182661163,-0.11831275720164613,-0.09540466392318248,-0.06450617283950617,-0.032407407407407406,-0.015432098765432103,-0.0037722908093278384,0.0,0.0,0.0,0.0,0.8464285714285714,0.15357142857142858,0,237,43,280
20,rmse,metamodel_minus_best_fixed,instrument,2.6936246392708487e-05,0.0005839469722130391,-0.005435980921753267,-0.0018549004310926748,-0.0006142513540063582,0.0,0.0,7.973428309302223e-05,0.0008762702295640829,0.0013942983863742449,0.0018451384465502,0.3107142857142857,0.15357142857142858,0.5357142857142857,87,43,150,280
20,rmse,metamodel_minus_oracle,instrument,-0.0020040738603127424,0.006459019104665187,-0.10689541860145811,-0.007159591163150313,-0.004807746222102967,-0.002199961548494478,-0.001209653010843233,-0.000638540669584158,-0.00012589080856642391,0.0,0.0,0.0,0.975,0.025,0,273,7,280
