horizon,target_metric,comparison,level,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,positive_share,negative_share,zero_share,positive_count,negative_count,zero_count,n_obs
1,directional_accuracy,metamodel_minus_best_fixed,route,0.002282446992549458,0.019755563026637828,-0.0696378830083565,-0.0454545454545454,-0.030991735537190004,-0.0020661157024792253,0.0,0.0082644628099173,0.0413223140495867,0.0619834710743801,0.0971074380165289,0.30873015873015874,0.2523809523809524,0.4388888888888889,389,318,553,1260
1,directional_accuracy,metamodel_minus_oracle,route,-0.01107556235228757,0.014795100722557672,-0.07644628099173562,-0.05785123966942152,-0.04338842975206608,-0.018595041322313988,-0.0041322314049587194,0.0,0.0,0.0,0.0,0.0,0.5682539682539682,0.43174603174603177,0,716,544,1260
1,rmse,metamodel_minus_best_fixed,route,1.5108546543954024e-06,4.2310197261886004e-05,-9.53001388645236e-05,-9.409348081787905e-06,0.0,0.0,0.0,0.0,0.0,2.510988381635576e-05,0.0014726090713607,0.026984126984126985,0.01904761904761905,0.953968253968254,34,24,1202,1260
1,rmse,metamodel_minus_oracle,route,-6.75670848350444e-05,0.00024340431271325803,-0.003348068977945602,-0.0012520113510058764,-0.0002633724716834481,-3.73188425778501e-05,-9.684777202850076e-06,0.0,0.0,0.0,0.0,0.0,0.696031746031746,0.30396825396825394,0,877,383,1260
5,directional_accuracy,metamodel_minus_best_fixed,route,0.0033890333500572307,0.03785205252747201,-0.1714922048997773,-0.10491836734693874,-0.0653061224489795,0.0,0.0,0.0122448979591836,0.0714285714285714,0.09879591836734711,0.1530612244897959,0.2968253968253968,0.22142857142857142,0.48174603174603176,374,279,607,1260
5,directional_accuracy,metamodel_minus_oracle,route,-0.017587569184179645,0.026894924065242,-0.17149220489977735,-0.10695918367346943,-0.07551020408163267,-0.02682759671032596,-0.002040816326530581,0.0,0.0,0.0,0.0,0.0,0.5095238095238095,0.49047619047619045,0,642,618,1260
5,rmse,metamodel_minus_best_fixed,route,2.3426215283405555e-06,3.1921335153165307e-05,-0.0001008044633702,0.0,0.0,0.0,0.0,0.0,0.0,3.7425751085889144e-05,0.0006091736967469,0.011111111111111112,0.004761904761904762,0.9841269841269841,14,6,1240,1260
5,rmse,metamodel_minus_oracle,route,-0.0002120859049144882,0.0003705500967348829,-0.004780457591777393,-0.0016464498616542006,-0.0008625209143508398,-0.00026881311784682574,-7.037081579030005e-05,0.0,0.0,0.0,0.0,0.0,0.6801587301587302,0.3198412698412698,0,857,403,1260
20,directional_accuracy,metamodel_minus_best_fixed,route,0.001708793655167996,0.02459533312833151,-0.1831275720164609,-0.07697530864197526,-0.0061728395061728,0.0,0.0,0.0,0.021015408173030797,0.10868312757201676,0.2551440329218107,0.07777777777777778,0.05476190476190476,0.8674603174603175,98,69,1093,1260
20,directional_accuracy,metamodel_minus_oracle,route,-0.020888531683896854,0.03564118002060934,-0.28189300411522644,-0.16386831275720168,-0.0947530864197531,-0.028806584362139898,0.0,0.0,0.0,0.0,0.0,0.0,0.4888888888888889,0.5111111111111111,0,616,644,1260
20,rmse,metamodel_minus_best_fixed,route,3.353906604880293e-05,0.001154182174291462,-0.018533017133891,-0.003729717661916741,-0.00032205727271670994,0.0,0.0,0.0,0.0012383707082877,0.0033206267919126927,0.0105797295307936,0.10238095238095238,0.05793650793650794,0.8396825396825397,129,73,1058,1260
20,rmse,metamodel_minus_oracle,route,-0.0018549643411700123,0.009321171937633528,-0.3204830420545801,-0.011051294288891969,-0.006605095169515137,-0.0022766246251740008,-0.0006517689831818593,0.0,0.0,0.0,0.0,0.0,0.6515873015873016,0.3484126984126984,0,821,439,1260
