horizon,target_metric,comparison,level,mean,std,min,max,positive_count,negative_count,zero_count,positive_share,negative_share,zero_share,n_seeds
1,directional_accuracy,metamodel_minus_best_fixed,split_seed,0.0022824469925494585,0.0017235358180535242,0.00030959437682821675,0.004920326061752819,5,0,0,1.0,0.0,0.0,5
1,directional_accuracy,metamodel_minus_oracle,split_seed,-0.01107556235228757,0.0007974343800935839,-0.01186279478037638,-0.009730113130831228,0,5,0,0.0,1.0,0.0,5
1,rmse,metamodel_minus_best_fixed,split_seed,1.5108546543954024e-06,2.782994103554703e-06,-5.924721667351435e-08,6.392771065181896e-06,2,3,0,0.4,0.6,0.0,5
1,rmse,metamodel_minus_oracle,split_seed,-6.756708483504441e-05,1.8988229885757852e-05,-9.936611984311427e-05,-4.851620629162447e-05,0,5,0,0.0,1.0,0.0,5
5,directional_accuracy,metamodel_minus_best_fixed,split_seed,0.0033890333500572302,0.0022066341012473905,0.0009888430554870218,0.00561180283998428,5,0,0,1.0,0.0,0.0,5
5,directional_accuracy,metamodel_minus_oracle,split_seed,-0.017587569184179648,0.0010285275045003174,-0.018918818891981787,-0.0162952947738713,0,5,0,0.0,1.0,0.0,5
5,rmse,metamodel_minus_best_fixed,split_seed,2.342621528340555e-06,1.5731079691450205e-06,-4.0001771178650796e-07,3.4783823665027816e-06,4,1,0,0.8,0.2,0.0,5
5,rmse,metamodel_minus_oracle,split_seed,-0.00021208590491448822,1.1421430276147873e-05,-0.00022273540157576787,-0.00019459899194421455,0,5,0,0.0,1.0,0.0,5
20,directional_accuracy,metamodel_minus_best_fixed,split_seed,0.0017087936551679957,0.001876149992190314,-9.10783341293976e-05,0.004274666417910553,4,1,0,0.8,0.2,0.0,5
20,directional_accuracy,metamodel_minus_oracle,split_seed,-0.020888531683896854,0.0019060340893016431,-0.022369032576428652,-0.01766710498749769,0,5,0,0.0,1.0,0.0,5
20,rmse,metamodel_minus_best_fixed,split_seed,3.3539066048802914e-05,6.833025473524075e-05,-6.941508568296413e-05,0.00011070603803923248,4,1,0,0.8,0.2,0.0,5
20,rmse,metamodel_minus_oracle,split_seed,-0.0018549643411700123,0.0006065976924820604,-0.0029337539756189393,-0.001480982539644327,0,5,0,0.0,1.0,0.0,5
