horizon,scenario,model_name,family,rmse,n_predictions,share_squared_error,winner_rank
1,contribution_top_1pct_by_abs_y_true,__all_models__,all,0.4078376026372175,65989,0.7389347523284684,
1,contribution_top_5pct_by_abs_y_true,__all_models__,all,0.19437805075061088,329923,0.8392030477327497,
1,contribution_top_1pct_by_sq_err,__all_models__,all,0.4140119665430459,65983,0.7614087441582658,
1,contribution_top_5pct_by_sq_err,__all_models__,all,0.1975895485274857,329915,0.8671415851559114,
1,original,chaotic_esn,chaos_inspired,0.05195676425637258,599844,,11.0
1,original,chaotic_logistic_net,chaos_inspired,0.048460210444022565,599844,,10.0
1,original,chaotic_lstm_forecast,chaos_inspired,0.046684202981407526,599844,,6.0
1,original,chaotic_mlp,chaos_inspired,0.04734229440764921,599844,,8.0
1,original,esn,neural_or_reservoir,0.04644524924567678,599844,,3.0
1,original,lstm_forecast,neural_or_reservoir,0.046294214119334695,599844,,1.0
1,original,naive_mean,baseline,0.04667517619662725,599844,,5.0
1,original,naive_zero,baseline,0.04666735369998298,599844,,4.0
1,original,ridge_lag,linear,0.046976853171672564,599844,,7.0
1,original,transient_chaotic_esn,chaos_inspired,0.04634041763636906,599844,,2.0
1,original,vanilla_mlp,neural_or_reservoir,0.047784054035659884,599844,,9.0
1,trim_top_1pct_by_abs_y_true,chaotic_esn,chaos_inspired,0.03385934150477124,593845,,11.0
1,trim_top_1pct_by_abs_y_true,chaotic_logistic_net,chaos_inspired,0.02566641430230633,593845,,10.0
1,trim_top_1pct_by_abs_y_true,chaotic_lstm_forecast,chaos_inspired,0.0221568075520519,593845,,3.0
1,trim_top_1pct_by_abs_y_true,chaotic_mlp,chaos_inspired,0.023334607256611652,593845,,6.0
1,trim_top_1pct_by_abs_y_true,esn,neural_or_reservoir,0.023376002998951116,593845,,7.0
1,trim_top_1pct_by_abs_y_true,lstm_forecast,neural_or_reservoir,0.022177161728752885,593845,,4.0
1,trim_top_1pct_by_abs_y_true,naive_mean,baseline,0.022081159084792017,593845,,2.0
1,trim_top_1pct_by_abs_y_true,naive_zero,baseline,0.022064226754979203,593845,,1.0
1,trim_top_1pct_by_abs_y_true,ridge_lag,linear,0.02296533620370982,593845,,5.0
1,trim_top_1pct_by_abs_y_true,transient_chaotic_esn,chaos_inspired,0.023490291910850464,593845,,8.0
1,trim_top_1pct_by_abs_y_true,vanilla_mlp,neural_or_reservoir,0.02444425327085689,593845,,9.0
1,winsorize_top_1pct_by_abs_y_true,chaotic_esn,chaos_inspired,0.03583161740924013,599844,,11.0
1,winsorize_top_1pct_by_abs_y_true,chaotic_logistic_net,chaos_inspired,0.02793090074334211,599844,,10.0
1,winsorize_top_1pct_by_abs_y_true,chaotic_lstm_forecast,chaos_inspired,0.02478372335263081,599844,,3.0
1,winsorize_top_1pct_by_abs_y_true,chaotic_mlp,chaos_inspired,0.025820618269894346,599844,,6.0
1,winsorize_top_1pct_by_abs_y_true,esn,neural_or_reservoir,0.026005243146546703,599844,,7.0
1,winsorize_top_1pct_by_abs_y_true,lstm_forecast,neural_or_reservoir,0.02478547381323687,599844,,4.0
1,winsorize_top_1pct_by_abs_y_true,naive_mean,baseline,0.024700761934471547,599844,,2.0
1,winsorize_top_1pct_by_abs_y_true,naive_zero,baseline,0.02468614360044621,599844,,1.0
1,winsorize_top_1pct_by_abs_y_true,ridge_lag,linear,0.025516833042434586,599844,,5.0
1,winsorize_top_1pct_by_abs_y_true,transient_chaotic_esn,chaos_inspired,0.026117462455691597,599844,,8.0
1,winsorize_top_1pct_by_abs_y_true,vanilla_mlp,neural_or_reservoir,0.027048369977135736,599844,,9.0
1,trim_top_5pct_by_abs_y_true,chaotic_esn,chaos_inspired,0.03020740064810726,569851,,11.0
1,trim_top_5pct_by_abs_y_true,chaotic_logistic_net,chaos_inspired,0.021178108552469436,569851,,10.0
1,trim_top_5pct_by_abs_y_true,chaotic_lstm_forecast,chaos_inspired,0.01677354346313354,569851,,3.0
1,trim_top_5pct_by_abs_y_true,chaotic_mlp,chaos_inspired,0.018309585938418894,569851,,7.0
1,trim_top_5pct_by_abs_y_true,esn,neural_or_reservoir,0.018244413529238314,569851,,6.0
