horizon,model_name,family,rmse_mean,rmse_std,mae_mean,mae_std,da_mean,n_tasks,rmse_rank,mae_rank,rmse_mae_rank_delta,pearson_rmse_mae,spearman_rmse_mae,n_model_tasks,best_fixed_rmse,best_fixed_mae
1,chaotic_esn,chaos_inspired,0.034505828865180416,0.039166404124293695,0.02123388040047028,0.01476300403387826,0.48483002859815927,1254,11.0,11.0,0.0,0.8953647963072464,0.9530004048313943,13794,naive_zero,naive_zero
1,chaotic_logistic_net,chaos_inspired,0.03137004219846651,0.03699012277043371,0.02050902877524843,0.011884444895878641,0.480195262549162,1254,10.0,10.0,0.0,0.8953647963072464,0.9530004048313943,13794,naive_zero,naive_zero
1,chaotic_lstm_forecast,chaos_inspired,0.0284937013054756,0.03705022799059452,0.016719032669936715,0.010772916121658743,0.4866548550976318,1254,4.0,3.0,-1.0,0.8953647963072464,0.9530004048313943,13794,naive_zero,naive_zero
1,chaotic_mlp,chaos_inspired,0.02949150679308173,0.03710396101386274,0.01807046498325625,0.011478875045851157,0.48085635393038867,1254,9.0,9.0,0.0,0.8953647963072464,0.9530004048313943,13794,naive_zero,naive_zero
1,esn,neural_or_reservoir,0.028912673029285442,0.03648337635608863,0.017101825668583884,0.011375708708997852,0.49250631768914055,1254,8.0,6.0,-2.0,0.8953647963072464,0.9530004048313943,13794,naive_zero,naive_zero
1,lstm_forecast,neural_or_reservoir,0.028487788038327383,0.03656722776801934,0.01673490285809771,0.010786816375829154,0.4854297046683988,1254,3.0,4.0,1.0,0.8953647963072464,0.9530004048313943,13794,naive_zero,naive_zero
1,naive_mean,baseline,0.028440331771595342,0.0370799060652336,0.016656578337204363,0.010767857495536744,0.482672728662215,1254,2.0,2.0,0.0,0.8953647963072464,0.9530004048313943,13794,naive_zero,naive_zero
1,naive_zero,baseline,0.02842853095020389,0.03707879888899097,0.01661373154930984,0.010752183675277215,0.043436592057274126,1254,1.0,1.0,0.0,0.8953647963072464,0.9530004048313943,13794,naive_zero,naive_zero
1,ridge_lag,linear,0.02876622463286114,0.03725014551420996,0.0170874875231813,0.011404849278504945,0.48900213896637346,1254,5.0,5.0,0.0,0.8953647963072464,0.9530004048313943,13794,naive_zero,naive_zero
1,transient_chaotic_esn,chaos_inspired,0.02891024249827575,0.03636619413272069,0.017103820899922722,0.01136808236730828,0.49181472238883855,1254,7.0,7.0,0.0,0.8953647963072464,0.9530004048313943,13794,naive_zero,naive_zero
1,vanilla_mlp,neural_or_reservoir,0.028866864176582366,0.038163465801079106,0.017358141952128803,0.014293584604341578,0.48488422780473883,1254,6.0,8.0,2.0,0.8953647963072464,0.9530004048313943,13794,naive_zero,naive_zero
5,chaotic_esn,chaos_inspired,0.07062174919381958,0.061289265421084205,0.0462180613557957,0.028764997773231146,0.4993277249914351,1254,11.0,11.0,0.0,0.9085145199673634,0.9668413814398228,13794,naive_zero,naive_zero
5,chaotic_logistic_net,chaos_inspired,0.06234235658330941,0.05348255564910491,0.041170478119408244,0.021495554458766688,0.49509864947831417,1254,10.0,10.0,0.0,0.9085145199673634,0.9668413814398228,13794,naive_zero,naive_zero
5,chaotic_lstm_forecast,chaos_inspired,0.059981181708072755,0.05380896414774541,0.03804498085929095,0.021003646301345647,0.49987154858605276,1254,4.0,4.0,0.0,0.9085145199673634,0.9668413814398228,13794,naive_zero,naive_zero
5,chaotic_mlp,chaos_inspired,0.06078439491109862,0.05353146932907164,0.03924407753172448,0.02234771606377878,0.49474016529394366,1254,6.0,7.0,1.0,0.9085145199673634,0.9668413814398228,13794,naive_zero,naive_zero
5,esn,neural_or_reservoir,0.061184109501815104,0.053654993713362284,0.039384049106704,0.022552796151782132,0.5019029674506928,1254,8.0,8.0,0.0,0.9085145199673634,0.9668413814398228,13794,naive_zero,naive_zero
