iter	Passed	Remaining
0	0	276
1	1	237
2	2	224
3	2	215
4	3	207
5	4	202
6	4	197
7	5	200
8	5	193
9	6	193
10	7	194
11	8	202
12	9	204
13	10	204
14	10	202
15	11	200
16	11	198
17	12	195
18	13	194
19	13	194
20	14	194
21	15	195
22	16	193
23	16	191
24	17	190
25	17	188
26	18	187
27	19	185
28	19	184
29	20	187
30	21	185
31	22	185
32	22	183
33	23	182
34	23	181
35	24	180
36	25	179
37	25	178
38	26	177
39	27	176
40	27	176
41	28	175
42	29	174
43	29	173
44	30	172
45	30	171
46	31	169
47	32	168
48	32	167
49	33	166
50	34	166
51	34	165
52	35	165
53	36	164
54	36	164
55	37	163
56	38	162
57	38	162
58	39	161
59	40	161
60	41	161
61	42	161
62	42	161
63	43	161
64	44	160
65	45	160
66	45	159
67	46	158
68	47	157
69	47	157
70	48	156
71	49	155
72	49	154
73	50	154
74	51	154
75	52	153
76	52	152
77	53	152
78	54	151
79	54	151
80	55	150
81	56	149
82	56	148
83	57	147
84	58	146
85	58	146
86	59	145
87	59	144
88	60	143
89	61	142
90	61	142
91	62	141
92	63	140
93	63	139
94	64	138
95	64	137
96	65	137
97	66	137
98	67	136
99	67	135
100	68	134
101	69	134
102	69	133
103	70	132
104	71	131
105	71	131
106	72	130
107	72	129
108	73	128
109	74	128
110	74	127
111	75	126
112	76	125
113	76	125
114	77	124
115	77	123
116	78	122
117	79	121
118	79	121
119	80	120
120	81	120
121	81	119
122	82	118
123	83	118
124	84	117
125	84	117
126	85	116
127	86	116
128	87	115
129	87	114
130	88	113
131	88	113
132	89	112
133	90	111
134	90	110
135	91	110
136	91	109
137	92	108
138	93	108
139	93	107
140	94	106
141	95	105
142	95	105
143	96	104
144	97	103
145	97	103
146	98	102
147	99	101
148	99	101
149	100	100
150	101	99
151	101	99
152	102	98
153	102	97
154	103	96
155	104	96
156	104	95
157	105	94
158	106	94
159	106	93
160	107	92
161	107	91
162	108	91
163	109	90
164	109	89
165	110	89
166	111	88
167	111	87
168	112	87
169	113	86
170	113	85
171	114	85
172	114	84
173	115	83
174	116	83
175	116	82
176	117	81
177	118	81
178	118	80
179	119	79
180	120	79
181	120	78
182	121	77
183	122	76
184	122	76
185	123	75
186	123	74
187	124	74
188	125	73
189	125	72
190	126	72
191	127	71
192	128	71
193	128	70
194	129	69
195	130	69
196	131	68
197	131	67
198	132	67
199	133	66
200	133	65
201	134	65
202	134	64
203	135	63
204	136	63
205	136	62
206	137	61
207	138	61
208	138	60
209	139	59
210	140	59
211	140	58
212	141	57
213	142	57
214	142	56
215	143	55
216	144	55
217	145	54
218	145	53
219	146	53
220	147	52
221	147	51
222	148	51
223	148	50
224	149	49
225	150	49
226	150	48
227	151	47
228	152	47
229	152	46
230	153	45
231	153	45
232	154	44
233	155	43
234	155	43
235	156	42
236	157	41
237	157	41
238	158	40
239	159	39
240	160	39
241	160	38
242	161	37
243	162	37
244	162	36
245	163	35
246	164	35
247	164	34
248	165	33
249	165	33
250	166	32
251	167	31
252	167	31
253	168	30
254	168	29
255	169	29
256	170	28
257	170	27
258	171	27
259	172	26
260	172	25
261	173	25
262	174	24
263	174	23
264	175	23
265	176	22
266	176	21
267	177	21
268	177	20
269	178	19
270	179	19
271	179	18
272	180	17
273	180	17
274	181	16
275	182	15
276	182	15
277	183	14
278	184	13
279	184	13
280	185	12
281	185	11
282	186	11
283	187	10
284	187	9
285	188	9
286	189	8
287	189	7
288	190	7
289	191	6
290	191	5
291	192	5
292	192	4
293	193	3
294	194	3
295	194	2
296	195	1
297	195	1
298	196	0
299	197	0
