model_name,paper_display_name,candidate_id,family,selection_role,model_params,runtime_params,training_params,source,needs_manual_verification,verification_note
naive_zero,Zero-return predictor,,baseline,baseline,{},{},{},configs/forecasting_benchmark_v2.yaml,False,
naive_mean,Historical-mean predictor,,baseline,baseline,{},{},{},configs/forecasting_benchmark_v2.yaml,False,
ridge_lag,Ridge autoregression,,baseline,baseline,"{""alpha"": 1.0}",{},{},configs/forecasting_benchmark_v2.yaml,False,
esn,Echo state network,esn_g004,esn,practical_main,"{""input_scale"": 0.12, ""leak_rate"": 0.9, ""n_reservoir"": 160, ""ridge_alpha"": 0.001, ""seed"": 2026, ""spectral_radius"": 0.92}",{},"{""batch_size"": 128, ""by_model"": {""chaotic_logistic_net"": {""batch_size"": 128, ""early_stopping_patience"": 5, ""learning_rate"": 0.001, ""max_epochs"": 30, ""weight_decay"": 0.0}, ""chaotic_lstm_forecast"": {""batch_size"": 128, ""early_stopping_patience"": 6, ""learning_rate"": 0.001, ""max_epochs"": 40, ""weight_decay"": 0.0}, ""chaotic_mlp"": {""batch_size"": 128, ""early_stopping_patience"": 5, ""learning_rate"": 0.001, ""max_epochs"": 30, ""weight_decay"": 0.0}, ""lstm_forecast"": {""batch_size"": 128, ""early_stopping_patience"": 6, ""learning_rate"": 0.001, ""max_epochs"": 40, ""weight_decay"": 0.0}, ""vanilla_mlp"": {""batch_size"": 128, ""early_stopping_patience"": 5, ""learning_rate"": 0.001, ""max_epochs"": 30, ""weight_decay"": 0.0}}, ""early_stopping_patience"": 5, ""learning_rate"": 0.001, ""max_epochs"": 20, ""weight_decay"": 0.0}",configs/forecasting_selected_architectures_v1.yaml,False,
chaotic_esn,Chaotic spectral-radius ESN,chaotic_esn_g003,esn,chaotic_counterpart,"{""chaotic_spectral_radius"": 1.3, ""input_scale"": 0.08, ""leak_rate"": 0.7, ""n_reservoir"": 128, ""ridge_alpha"": 0.0005, ""seed"": 2026, ""spectral_radius"": 0.98}",{},"{""batch_size"": 128, ""by_model"": {""chaotic_logistic_net"": {""batch_size"": 128, ""early_stopping_patience"": 5, ""learning_rate"": 0.001, ""max_epochs"": 30, ""weight_decay"": 0.0}, ""chaotic_lstm_forecast"": {""batch_size"": 128, ""early_stopping_patience"": 6, ""learning_rate"": 0.001, ""max_epochs"": 40, ""weight_decay"": 0.0}, ""chaotic_mlp"": {""batch_size"": 128, ""early_stopping_patience"": 5, ""learning_rate"": 0.001, ""max_epochs"": 30, ""weight_decay"": 0.0}, ""lstm_forecast"": {""batch_size"": 128, ""early_stopping_patience"": 6, ""learning_rate"": 0.001, ""max_epochs"": 40, ""weight_decay"": 0.0}, ""vanilla_mlp"": {""batch_size"": 128, ""early_stopping_patience"": 5, ""learning_rate"": 0.001, ""max_epochs"": 30, ""weight_decay"": 0.0}}, ""early_stopping_patience"": 5, ""learning_rate"": 0.001, ""max_epochs"": 20, ""weight_decay"": 0.0}",configs/forecasting_selected_architectures_v1.yaml,False,
transient_chaotic_esn,Transient chaotic ESN,transient_chaotic_esn_g002,esn,exploratory_chaotic,"{""g_end"": 0.95, ""g_start"": 1.3, ""input_scale"": 0.1, ""leak_rate"": 0.8, ""n_reservoir"": 96, ""ridge_alpha"": 0.0001, ""seed"": 2026, ""spectral_radius"": 0.95}",{},"{""batch_size"": 128, ""by_model"": {""chaotic_logistic_net"": {""batch_size"": 128, ""early_stopping_patience"": 5, ""learning_rate"": 0.001, ""max_epochs"": 30, ""weight_decay"": 0.0}, ""chaotic_lstm_forecast"": {""batch_size"": 128, ""early_stopping_patience"": 6, ""learning_rate"": 0.001, ""max_epochs"": 40, ""weight_decay"": 0.0}, ""chaotic_mlp"": {""batch_size"": 128, ""early_stopping_patience"": 5, ""learning_rate"": 0.001, ""max_epochs"": 30, ""weight_decay"": 0.0}, ""lstm_forecast"": {""batch_size"": 128, ""early_stopping_patience"": 6, ""learning_rate"": 0.001, ""max_epochs"": 40, ""weight_decay"": 0.0}, ""vanilla_mlp"": {""batch_size"": 128, ""early_stopping_patience"": 5, ""learning_rate"": 0.001, ""max_epochs"": 30, ""weight_decay"": 0.0}}, ""early_stopping_patience"": 5, ""learning_rate"": 0.001, ""max_epochs"": 20, ""weight_decay"": 0.0}",configs/forecasting_selected_architectures_v1.yaml,False,
vanilla_mlp,Feed-forward MLP,vanilla_mlp_g004,mlp,practical_main,"{""hidden_dims"": [128, 64], ""seed"": 2026}",{},"{""batch_size"": 128, ""early_stopping_patience"": 5, ""learning_rate"": 0.001, ""max_epochs"": 30, ""weight_decay"": 0.0}",configs/forecasting_selected_architectures_v1.yaml,False,
chaotic_mlp,Logistic-map activated MLP,chaotic_mlp_g003,mlp,chaotic_counterpart,"{""hidden_dims"": [64, 32], ""seed"": 2026}",{},"{""batch_size"": 128, ""early_stopping_patience"": 5, ""learning_rate"": 0.001, ""max_epochs"": 30, ""weight_decay"": 0.0}",configs/forecasting_selected_architectures_v1.yaml,False,
chaotic_logistic_net,Input-driven logistic-map reservoir,logistic_g006,logistic,nonlinear_specialist,"{""beta"": 0.08, ""hidden_size"": 64, ""r_max"": 3.8, ""r_min"": 3.55, ""seed"": 2026, ""train_r"": false}",{},"{""batch_size"": 128, ""early_stopping_patience"": 5, ""learning_rate"": 0.001, ""max_epochs"": 30, ""weight_decay"": 0.0}",configs/forecasting_selected_architectures_v1.yaml,False,
lstm_forecast,LSTM regressor,lstm_g001,lstm,practical_main,"{""dropout"": 0.0, ""hidden_size"": 32, ""num_layers"": 1, ""seed"": 2026}",{},"{""batch_size"": 128, ""early_stopping_patience"": 6, ""learning_rate"": 0.001, ""max_epochs"": 40, ""weight_decay"": 0.0}",configs/forecasting_selected_architectures_v1.yaml,False,
