metric,horizon,Model family,winner_count,winner_share,task_count,aggregation
rmse,1,Zero/mean baselines,279,0.6674641148325359,418,mean across 3 folds; exact ties use predefined clean candidate order
rmse,1,Non-chaotic models,60,0.14354066985645933,418,mean across 3 folds; exact ties use predefined clean candidate order
rmse,1,Chaos-inspired models,79,0.18899521531100477,418,mean across 3 folds; exact ties use predefined clean candidate order
rmse,5,Zero/mean baselines,305,0.7296650717703349,418,mean across 3 folds; exact ties use predefined clean candidate order
rmse,5,Non-chaotic models,76,0.18181818181818182,418,mean across 3 folds; exact ties use predefined clean candidate order
rmse,5,Chaos-inspired models,37,0.08851674641148326,418,mean across 3 folds; exact ties use predefined clean candidate order
rmse,20,Zero/mean baselines,272,0.6507177033492823,418,mean across 3 folds; exact ties use predefined clean candidate order
rmse,20,Non-chaotic models,79,0.18899521531100477,418,mean across 3 folds; exact ties use predefined clean candidate order
rmse,20,Chaos-inspired models,67,0.16028708133971292,418,mean across 3 folds; exact ties use predefined clean candidate order
directional_accuracy,1,Zero/mean baselines,44,0.10526315789473684,418,mean across 3 folds; exact ties use predefined clean candidate order
directional_accuracy,1,Non-chaotic models,146,0.3492822966507177,418,mean across 3 folds; exact ties use predefined clean candidate order
directional_accuracy,1,Chaos-inspired models,228,0.5454545454545454,418,mean across 3 folds; exact ties use predefined clean candidate order
directional_accuracy,5,Zero/mean baselines,68,0.16267942583732056,418,mean across 3 folds; exact ties use predefined clean candidate order
directional_accuracy,5,Non-chaotic models,136,0.3253588516746411,418,mean across 3 folds; exact ties use predefined clean candidate order
directional_accuracy,5,Chaos-inspired models,214,0.5119617224880383,418,mean across 3 folds; exact ties use predefined clean candidate order
directional_accuracy,20,Zero/mean baselines,65,0.15550239234449761,418,mean across 3 folds; exact ties use predefined clean candidate order
directional_accuracy,20,Non-chaotic models,138,0.33014354066985646,418,mean across 3 folds; exact ties use predefined clean candidate order
directional_accuracy,20,Chaos-inspired models,215,0.5143540669856459,418,mean across 3 folds; exact ties use predefined clean candidate order
